3D Saamri
She'll Be Wearing Pink Pyjamas
The Slugger's Wife
The Journey of a Young Composer
Adventures of Tarzan
Screwballs
Men...
Dinosaur!
Pournami Raavil 3D
Natural Causes (film)
Contract (1985 film)
I Can't Get Started (film)
Inch by Inch (film)
Nulli Novikkathe
Macaroni (film)
Na istarski način
Tony de Peltrie
Doctor Fischer of Geneva
Dhruva Thare
Fracchia contro Dracula
The Avenging Quartet
Code Name: Emerald
Sunny Side of Life
Mata Hari (1985 film)
Twice in a Lifetime (film)
Asterix Versus Caesar
KGB: The Secret War
Dereza (film)
Los Días de junio
Ladyhawke
Out of Africa (film)
Don't Call Me Girlie
Rangam (film)
Nothing Underneath
Horvatov izbor
Mottu
The Courage to Care
Calamari Union
Ciuleandra
Rustlers' Rhapsody
Kunguma Chimil
The Zoo Gang (film)
Pulgasari
The Stuff
Fandango (1985 film)
Gwen, or the Book of Sand
Billy Ze Kick (film)
Aarodum Parayaruthu
Aadhiyugam
The Alley Cat (1985 film)
Winter Evening in Gagra
Hinugot sa Langit
A Better Class of Person
Document of the Dead
Death of a Salesman (1985 film)
Happily Ever After (1985 film)
The Hobbit (1985 film)
Plenty (film)
The Legend of Billie Jean
Karimpinpoovinakkare
Heart of Dragon
Evils of the Night
Aandhi-Toofan
Mirch Masala
Red Kiss
Right to Kill?
Stand Alone
Mamma Ebe
Joshua Then and Now (film)
Ulta Seedha
Faisla
Yaar?
The Girl in the Picture (1985 film)
Nayakan (1985 film)
The Man in the Iron Mask (1985 film)
Tora-san, the Go-Between
Peter-No-Tail in Americat
Out of Control (1985 film)
False as Water
Silip: Daughters of Eve
Miami Supercops
Double Sculls
Un Kannil Neer Vazhindal
The Mean Season
Kandu Kandarinju
Marudhani
Doña Lupe
Rakta Sindhuram
Red Heat (1985 film)
Runaway Train (film)
Nalla Thambi
Murphy's Romance
Ee Thanalil Ithiri Nerum
Jhoothi
Jeevana Chakra
You Got to Move
Pataal Bhairavi
Insignificance (film)
Les Spécialistes
Reference (film)
Kiraatham
The Other Lover
En Selvame
Mismatched Couples
Raffl
Baby: Secret of the Lost Legend
Vasantha Sena
Dot and Keeto
Oru Nokku Kanan
Rajathi Rojakili
Black Arrow (telefilm)
D.A.R.Y.L.
Bettada Hoovu
Sylvia (1985 film)
My Beautiful Laundrette
Kanni Rasi
Doin' Time (film)
Marbella (film)
When Nature Calls
Monsieur de Pourceaugnac (film)
Return to Oz
Turk 182
That Was Then... This Is Now
Commando Leopard
Rambo: First Blood Part II
Almost You
Not for Publication
Le téléphone sonne toujours deux fois!!
Ozhivukaalam
Stico
Heavenly Bodies (film)
Emerging (film)
Raman Sreeraman
Murder Among Friends
Scorpio Nights
Year of the Dragon (film)
Jadehay sard
Cease Fire (1985 film)
Il diavolo sulle colline
Sons of Shiva
Minna Agechau
Grace Quigley
Parayanumvayya Parayathirikkanumvayya
Waiting for the Hearse
Young Sherlock Holmes
Rao Saheb (film)
Warning Sign (film)
Mania (film)
Shaker Run
Creature (1985 film)
Sedina Hakki
The Adventures of Hercules
Dot and the Koala
Goonda Guru
Agni Parvatam
Bailoretto, la aventura de un rebelde
Deadly Messages
Blood Cult
Puthiya Sagaptham
Confessions of a Serial Killer
Ran (film)
Witness (1985 film)
Maxie (film)
Black Octopus
Aazhi
Burning Flowers
Eleni (film)
He Died with His Eyes Open
Kalyana Agathigal
Akkacheyude Kunjuvava
Oru Kaidhiyin Diary
Guerrilla (1985 film)
Krush Groove
Die Nacht (film)
Master Harold...and the Boys (1985 film)
Eetti (1985 film)
Aar Paar (1985 film)
A Certain Sacrifice
Shathru
Bits and Pieces (1985 film)
Onnam Prathi Olivil
Love Letter (1985 film)
Onnanam Kunnil Oradi Kunnil
Kung Hei Fat Choy (film)
The Fantasy Film Worlds of George Pal
Scandalous Gilda
The Runner (1985 film)
Bepanaah
Walls of Glass
Hoshiyar
Hollywood Heartbreakers
Gymkata
Anubhav (1986)
All the Fault of Paradise
Bewafai
Badge of the Assassin
Irakal
Taipei Story
Dawn (1985 film)
24 Hours of Explicit Sex
Madame Aema 3
Punnaram Cholli Cholli
Compromising Positions
The Boys Next Door (1985 film)
Ticket (film)
Arthamulla Aasaigal
An Indecent Obsession
Rehguzar
The Dream Is Alive
La Cage aux Folles 3: The Wedding
Mishima: A Life in Four Chapters
Raja Rishi
Write and Fight
Horror House on Highway Five
Padre nuestro (1985 film)
Anna Karenina (1985 film)
Anubandham
Agnisnaan
The Legend of Suram Fortress
The Night of the Emerald Moon
Dissolved and Effused
Swabhimana
Hong Kong Godfather (1985 film)
Igor and the Lunatics
Alpine Fire
Gray Sunset
Aa Penkutty Nee Aayirunnenkil
The Romance of Betty Boop
UFOria
A Zed & Two Noughts
Mareyada Manikya
Manakkale Thatha
Aanakkorumma
Day of the Dead (1985 film)
Adavi Donga
The New Kids
Silver Bullet (film)
Amici miei – Atto III
Ketti Melam
The Beniker Gang
Mutharamkunnu P.O.
Mahaguru
Samantharam
Shah Behram (film)
Women (1985 film)
Casablanca, Casablanca
Enemy Mine (film)
Akkare Ninnoru Maran
The Black Cauldron (film)
Alai Osai
Kartavya (1985 film)
The Big Snit
Steaming (film)
Tanner (film)
He-Man & She-Ra: A Christmas Special
Ghar Dwaar
City Hero
Purooruvase
Naan Sigappu Manithan (1985 film)
Masterji
Tenement (film)
A Chorus Line (film)
Pray for Death
Brazil (1985 film)
Hum Dono (1985 film)
Alag Alag
Donga (film)
Premalekhanam (film)
Morenga (film)
Christopher Columbus (miniseries)
A Summer in a Sea Shell
The Insomniac on the Bridge
The Aviator (1985 film)
Explorers (film)
The Good Father
Coordinates of Death
Colonel Redl
Rebel Love
Naked Vengeance
Give the Devil His Due
Das zweite Schraube-Fragment
Mugsy's Girls
Power of Evil
Ameer Aadmi Gharib Aadmi
The Lady from Yesterday
Upaharam (1985 film)
The Bride (1985 film)
Future-Kill
Capone Cries a Lot
Radioactive Dreams
Letter to Brezhnev
The Journey of Natty Gann
Oru Naal Innoru Naal
Kuei-Mei, a Woman
Piccoli fuochi
Rappin'
