Some Dudes Can Fight
Come Along, Do!
The Temptation of Saint Anthony (film)
The Astronomer's Dream
Divers at Work on the Wreck of the "Maine"
Walking Troubles of Organic Hemiplegy
The Four Troublesome Heads
Farewell Ceremony for His Majesty Emir of Bukhara on "Velikiy Kniaz Alexei" Steamboat
Pelicans at the Zoo
Tommy Atkins in the Park
The Ball Game
The Nearsighted School Teacher
The Folk Dance of Caucasus
Adventures of William Tell
The Miller and the Sweep
Qafqaz və Merkuri cəmiyyətinin paroxodunun limandan yola düşməsi
The Dude's Experience with a Girl on a Tandem
The Oil Gush in Balakhany
Şəhər bağında xalq gəzintisi
The Famous Box Trick
Photographing a Ghost
A Switchback Railway
The Oil Gush Fire in Bibiheybat
Santa Claus (1898 film)
The Clown Barber
The Magician (1898 film)
The Humpty Dumpty Circus
Pygmalion and Galatea (1898 film)
Train Entering the Railroad Station
Don Juan Tenorio (1898 film)
Balaxanı-Sabunçu polis idarəsi süvari qorodovoyların at oynatmaları
Early Fashions on Brighton Pier
Surrender of General Toral
