George White's Scandals (film)
A Medal for Benny
Don Juan Quilligan
The Phantom Lady (film)
Blood on the Sun
Bells of Rosarita
A Song to Remember
O, Vrba
It's in the Bag!
Pan-Americana
Crime Doctor's Warning
Momotarō: Umi no Shinpei
Scarlet Street
Chew-Chew Baby
To the Shores of Iwo Jima
The Sailor Takes a Wife
It Happened in Harlem
Patrick the Great
Alone in the Night (film)
The White Monk
The Hidden Eye
Le Roi des resquilleurs
The Man from Oklahoma
Fall of Berlin – 1945
Leave Her to Heaven
Big Timers
The House on 92nd Street
The Power of the Whistler
Fashion Model
Vikramaditya (film)
Swarga Seema
Pursuit to Algiers
Dillinger (1945 film)
The Clock Watcher
The Master Key (1945 serial)
Back in the Seventies
Hanged Man's Farm
Masquerade in Mexico
Anna Alt
Santa Fe Saddlemates
Strange Confession
A Tanítónő
The Man Who Walked Alone
The Falcon in San Francisco
Midnight Manhunt
The Vampire's Ghost
The Nazi Plan
Mighty Mouse in Gypsy Life
Intelligence and the Japanese Civilian
Painted Boats
Mexicana (film)
Life Begins Anew
A Bell for Adano
Svatba v korálovém moři
The Kid Sister
The Chicago Kid
Duffy's Tavern (film)
Between Two Women (1945 film)
Latin Quarter (film)
The Cheaters (1945 film)
Simple People
The Shooting of Dan McGoo
Having Wonderful Crime
The Shanghai Cobra
François Villon (film)
This Man's Navy
Wasp Wings
The Enchanted Cottage (1945 film)
Jungle Raiders (serial)
White Pongo
Topaz (1945 film)
L'abito nero da sposa
Fog Island
The Museum of Crime
Pardon My Past
Flight from Folly
Hockey Homicide
Swing Out, Sister
They Were Expendable
Love, Honor and Goodbye
Spellbound (1945 film)
Molly and Me
They Came to a City
Gangster's Den
Category:Lists of 1945 films by country or language
The Story of the Fourteenth Air Force
Welt im Film No. 5
The Invisible Army
The Rake's Progress (film)
Old Sequoia
Pamela (film)
Barnen från Frostmofjället
The Jade Mask
The Spider (1945 film)
La Vie de Bohème (1945 film)
A Walk in the Sun (1945 film)
Three's a Crowd (1945 film)
Sports Day (film)
The Soul of a Tango
No Sail
Lady on a Train
Ten Cents a Dance (1945 film)
Waltz Time (1945 film)
Mom and Dad
Der Fall Molander
My Name Is Julia Ross
Birth of the B-29
Resistance (1945 film)
The World Owes Me a Living
Love Letters (1945 film)
Kiss the Bride Goodbye
Le cavalier noir
Roughly Speaking (film)
Who's Guilty?
Frontier Gal
Secret Agent X-9 (1945 serial)
Blood and Fire (film)
The Brighton Strangler
Hollywood and Vine (film)
A Christmas Dream
Pillow of Death
Grissly's Millions
Sanyasi (1945 film)
Černí myslivci
God Is My Co-Pilot (film)
Behind City Lights
Murder in Reverse
Conflict (1945 film)
War Comes to America
The Whole City Sings
Dangerous Intruder
Colorado Pioneers
Panik i familien
And Then There Were None (1945 film)
Marshal of Laredo
While the Attorney Is Asleep
El destino se disculpa
Lo que va de ayer a hoy
Too Young to Know
La Amada Inmóvil
The Wicked Lady
Abbott and Costello in Hollywood
Fallen Angel (1945 film)
Divorce (film)
Pratima (1945 film)
Escape in the Fog
Nais (film)
Steppin' in Society
What a Blonde
Tonight and Every Night
Sunset in El Dorado
House of Dracula
Rosalinda (film)
Girls of the Big House
Hotel Berlin
Idiots Deluxe
Christmas in Connecticut
Marked for Murder
Without Love (film)
Sudan (film)
Wildfire (1945 film)
Death Mills
Mayalokam
Saratoga Trunk
Fram för lilla Märta
Song of the Sarong
The Song of Buenos Aires
Wagon Wheels Westward
St. Val's Mystery
The Lost Weekend (film)
China's Little Devils
Identity Unknown (1945 film)
Lone Texas Ranger
Stricken Peninsula
Objective, Burma!
Isle of the Dead (film)
The Corn Is Green (1945 film)
Category:1945 television films
Captain Kidd (film)
Bhai Jaan
