47 Natkal
Raktham
Whose Life Is It Anyway? (film)
Coup de Torchon
The Nesting
Tragedy of a Ridiculous Man
W biały dzień
Keezh Vaanam Sivakkum
Escape from New York
The Aviator's Wife
Kung Fu Zombie
Desperado City
The Flame Trees of Thika
Thadavara
Fever (1981 film)
Second-Hand Hearts
Force: Five
Visham
Men Prefer Fat Girls
Hitman in the Hand of Buddha
Thrasam
Jyoti (1981 film)
Nyayam Kavali
Improper Channels
Hell Night
Bustin' Loose (film)
Polonia Restituta (film)
Sphodanam
The Pursuit of D. B. Cooper
Carbon Copy (film)
Heavy Metal (film)
Dawn of the Mummy
Take This Job and Shove It (film)
Broken English (1981 film)
Panneer Pushpangal
Ellaam Ninakku Vendi
Knightriders
La Conquista del paraíso
Stripes (film)
A Choice of Two
Sharky's Machine (film)
Aapas Ki Baat
Brooklyn Bridge (film)
Daydream (1981 film)
Camera d'albergo
Possession (1981 film)
A Small Ball Shot by a Midget
Earthbound (1981 film)
The Boogens
Chann Pardesi
Silence of the North
Don't Cry, It's Only Thunder
Kilinjalgal
Absence of Malice
Ruckus (film)
Blow Out
The Cannonball Run
Passion of Love
Betrayal (1981 film)
Quando la coppia scoppia
Centurians of Rome
Rhythm of a Crime
L'onorevole con l'amante sotto il letto
Ithihasam
The Loch Ness Horror
Amara Kaaviyam (1981 film)
The Clones of Bruce Lee
Back Roads (film)
Parankimala (1981 film)
Madhouse (1981 film)
Andhi Mayakkam
Just Before Dawn (1981 film)
Swarnappakshikal
Thrishna
Veliyattam
Huie's Sermon
La dottoressa preferisce i marinai
Lorry Driver Rajakannu
Sankharsham
Bhagyavantha
Dhruvasangamam
Thayiya Madilalli
Ranganayaki (film)
Hardly Working
Cornetti alla crema
Charlotte (film)
The Salamander (1981 film)
Tuppen
Deadly Blessing
The Princess and the Cabbie
Kolangal (1981 film)
Meri Aawaz Suno
Paathira Sooryan
Heartbeeps
St. Helens (film)
The Hot Touch
The Woman Inside
O Homem que Virou Suco
Orderly or Disorderly
Graduation Day (film)
Clara et les Chics Types
Southern Comfort (1981 film)
Crac
Needhi Pizhaithathu
Dhuan
Tudo Bem (film)
The Xi'an Incident (film)
Wardat
Mia moglie torna a scuola
Endless Love (1981 film)
Kiss Daddy Goodbye
Cutting It Short
Tulips (film)
Al Qadisiyya
Ragtime (film)
For a Cop's Hide
Kaamashaasthram
Quartet (1981 film)
Ach du lieber Harry
Heartworn Highways
Los Crápulas
Baseraa
Front Line (film)
...All the Marbles
Ragile Jwala
Dance Craze
One from the Heart
Twenty Six Days from the Life of Dostoyevsky
Kassettenliebe
Todu Dongalu (1981 film)
Bhoomige Banda Bhagavantha
L'assistente sociale tutto pepe
The Funhouse
The Mysterious Castle in the Carpathians
Help Me Dream
La Soupe aux choux
Modern Romance (film)
Visión de un asesino
Happy Birthday to Me (film)
Enter the Ninja
Limuzīns Jāņu nakts krāsā
Natural Enemies
Sword Stained with Royal Blood (1982 film)
Samurai Reincarnation
The Looney Looney Looney Bugs Bunny Movie
All the Wrong Clues for the Right Solution
Snehitara Savaal
Body Heat
Bret Maverick: The Lazy Ace
Fort Apache, The Bronx
Muniyana Madari
Amanat (1981 film)
Scanners
Inchon (film)
Culo e camicia
Ellam Inba Mayyam
Blood Wedding (1981 film)
