Serce matki
The Tiger of Eschnapur (1938 film)
Crime School
Blaavand melder storm
Chocolate and Soldiers
Save a Little Sunshine
Pride of the West
Bed and Breakfast (1930 film)
Shine On, Harvest Moon (1938 film)
Tempête sur l'Asie
The Lady in White
Bluebeard's Eighth Wife
Three Missing Links
The Claydon Treasure Mystery
Carefree (film)
Cipher Bureau
Boat Builders (film)
Flirting with Fate (1938 film)
All's Fair at the Fair
The Jury's Secret
The Secretary (1938 film)
Keep Smiling (1938 film)
Barefoot Boy (film)
The Four Companions (film)
Action for Slander
Too Hot to Handle (1938 film)
Four Men and a Prayer
The Great Dawn
Straight, Place and Show
Where the Buffalo Roam (1938 film)
Little Orphan Annie (1938 film)
The Goldwyn Follies
I Am the Law (1938 film)
Carmen, la de Triana
The Utah Trail
Mr. Wong, Detective
Scandal Street
The First Hundred Years (film)
Yellow Sands (film)
Follow Your Star
Bulldog Drummond's Peril
Men of the Sea
Born to Be Wild (1938 film)
Paweł i Gaweł
Stablemates
Stepping Toes
Flaming Frontiers
Friends (1938 film)
Mr. Moto Takes a Chance
Men with Wings
Too Much Johnson
Girls on Probation
Category:Lists of 1938 films by country or language
Outside of Paradise
Professor Beware
Forty Years
Capriccio (1938 film)
Girls' School (film)
Hawaii Calls (film)
Alf's Button Afloat
L'ha fatto una signora
The Marriage Swindler
Lawless Valley
Flash Gordon's Trip to Mars
Tom Sawyer, Detective (film)
Prairie Justice
Think Fast, Mr. Moto
Su adorable majadero
When Were You Born
Gopal Krishna (1938 film)
While Mexico Sleeps
Accidents Will Happen (film)
Passport Husband
Red River Range
Ferdinand the Bull (film)
Love on a Budget
Ettore Fieramosca (1938 film)
Adventure in Sahara
Anna Favetti
The Lady Objects
Premiere (film)
Pygmalion (1938 film)
Gang Bullets
The Great Adventures of Wild Bill Hickok
Let George Do It (1938 film)
Santa Fe Stampede
Nonna Felicità
The Gables Mystery
By a Silken Thread
College Swing
Second Thoughts (1938 film)
Ladies in Distress
The Daffy Doc
Paroled - To Die
Go Chase Yourself
Rézi Friday
Daffy Duck in Hollywood
Sevasadanam
Man from Music Mountain
The Lone Wolf in Paris
Climbing High
Came the Brawn
Mathrubhoomi (1938 film)
Forbidden Love (1938 film)
Sailing Along
Diao Chan (film)
A Woman's Face (1938 film)
Pyotr pervyy
Det drønner gjennom dalen
The Legend of Tank Commander Nishizumi
Blondie (1938 film)
Boy Meets Dog
Lightning Carson Rides Again
The Ship That Died
The Awful Tooth
Dangerous to Know
A Nation Is Built
Blind Alibi
Owd Bob (1938 film)
Škola základ života
The High Command
Avec les Hommes de l'eau
The Amazing Dr. Clitterhouse
El Rosario de Amozoc
The Old Barn Dance
Arsène Lupin Returns
The Last Enemy (film)
The Sky's the Limit (1938 film)
Make It Three
Destiny (1938 film)
Veera Jagathis
The Muzzle (1938 film)
In Old Chicago
Special Inspector
Wives Under Suspicion
The Toy Wife
Artists and Models Abroad
Party Fever
Gestern und heute
The Whalers
Zangezur (film)
Pietro Micca (film)
Moth and the Flame
Sixty Glorious Years
Mother Carey's Chickens (film)
A Feud There Was
Rose of the Rio Grande
Everybody Sing (film)
Eli Sjursdotter
The Great Citizen
The Alamo: Shrine of Texas Liberty
Rasputin (1938 film)
A Christmas Carol (1938 film)
The Feud Maker
Kicking the Moon Around
Radio City Revels
Orage (film)
Treasure Island (1938 film)
Down in 'Arkansaw'
The Lady Vanishes (1938 film)
Prairie Moon
Baghban (1938 film)
The Birth of a Baby
Gangster's Boy
Porky's Party
Mr. Moto's Gamble
The Little Ranger
Old Iron
Vessel of Wrath
The Affairs of Annabel
Racket Busters
Just Around the Corner
The Rage of Paris
Gold Is Where You Find It
Olympia (1938 film)
Mr. Satan (film)
White Banners
The Novel of Werther
Sergeant Berry
Heer Sial
Blond Cheat
The Baroness and the Butler
Villa Discordia
City Girl (1938 film)
Prison Farm (film)
Bør Børson Jr. (1938 film)
The Return of the Frog
Sky Giant
Doctor Rhythm
La que no perdonó
Kościuszko pod Racławicami
Cinderella Meets Fella
The Great Heart
Blockade (1938 film)
Island in the Sky (1938 film)
Hawk of the Wilderness
Practical Jokers
Timber Toppers
Rascals (1938 film)
Dakshayagnam (1938 film)
Heroes of the Hills
Algiers (film)
The Ware Case (1938 film)
Everything Happens to Me (1938 film)
Klapzubova jedenáctka (film)
Canción del alma
Army Girl
The Terror (1938 film)
Brahmachari (1938 film)
The Beloved Brat
Balan (film)
The Londonderry Air (film)
Always Goodbye
Mutts to You
Touchdown, Army
The Fox Hunt (1938 film)
Good Scouts
The Broken Melody (1937 film)
Heart of the North
There Goes My Heart (film)
Child Bride
Donald's Better Self
Gruhalakshmi
Submarine Patrol
Julia jubilerar
I'll Give a Million (1938 film)
La Chismosa
Change of Heart (1938 film)
Topper Takes a Trip
The Big Broadcast of 1938
Bear Facts (film)
Nanking (1938 film)
Little Tough Guys in Society
Boy Meets Girl (1938 film)
Robert and Bertram (1938 film)
The Stars Shine (film)
The Singing Cop (film)
Meet the Girls
A Slight Case of Murder
Our Day
Arson Gang Busters
From the Hills to the Valley
Hold That Co-ed
The Texans
The Devil's Party
Megvédtem egy asszonyt
The Gladiator (1938 film)
Mother Goose Goes Hollywood
The Nurse from Brooklyn
A Man to Remember
A Prussian Love Story
Abused Confidence
The Mad Miss Manton
I've Got a Horse
Porky's Hare Hunt
The Lantern (film)
Mollenard
The Singing Outlaw
Kilómetro 111
La Estancia de gaucho Cruz
Fast Company (1938 film)
Josette (1938 film)
Where the West Begins (1938 film)
A Girl Goes Ashore
Gateway (film)
Broadway Musketeers
State Express
Mad About Music
The Renegade Ranger
Bringing Up Baby
Star of the Circus
The Great and the Little Love
Torchy Gets Her Man
Healthy, Wealthy and Dumb
There's Always a Woman
The Spider's Web
Swing! (film)
The Merry Wives
Rawhide (1938 film)
Dramatic School (film)
Painted Desert (1938 film)
Hide and Shriek
Heart of Arizona
The Patriot (1938 film)
Coming of Age (1938 film)
Flat Foot Stooges
Old Bones of the River
Titans of the Deep
Talaq (1938 film)
Gorakh Aya
Love, Honor and Behave
Penrod's Double Trouble
Feed 'em and Weep
Many Tanks Mr. Atkins
International Settlement (film)
A Sister to Assist 'Er (1938 film)
Jezebel (film)
Life on the Hegn Farm
Durango Valley Raiders
Desert Patrol (film)
Prison Without Bars
Prison Break (film)
Victory (1938 film)
Boys' School
Simply Terrific
Gun Law (1938 film)
Mr. Reeder in Room 13
I Stand Accused (film)
The Girl Downstairs
The Train for Venice
Storm Over Bengal
The Frontiersmen
Songs and Saddles
Sally, Irene and Mary (1938 film)
Another Romance of Celluloid
Alexander's Ragtime Band (film)
Bar 20 Justice
Meetha Zahar
My Irish Molly
A Yank at Oxford
Having Wonderful Time
Termites of 1938
Four Daughters
Ostatnia brygada
13 Men and a Gun
Buzzy Boop at the Concert
On the Great White Trail
The Dawn Patrol (1938 film)
Up the River (1938 film)
Valley of the Giants (film)
A Night in May
Category:1938 animated films
Battle of Broadway
Phantom Ranger (1938 film)
The Cowboy and the Lady (1938 film)
Paths of Faith
Heartbeat (1938 film)
Western Jamboree
Hard to Get (1938 film)
El diablo con faldas
A Trip to Paris
Kate Plus Ten (film)
Watan (film)
The Arkansas Traveler (film)
Ducháček Will Fix It
The Major Lied 'Til Dawn
The Gaunt Stranger
Katia (film)
The Girl of the Golden West (1938 film)
Vivacious Lady
Annabel Takes a Tour
Dos cadetes
Faded Melody
Abhagin
Sons of the Legion
Law of the Underworld
Five Million Look for an Heir
Under the Big Top
The Mysterious Rider (1938 film)
Kobiety nad przepaścią
Wort und Tat
The Purple Vigilantes
The Patient in Room 18 (film)
Marie Antoinette (1938 film)
Dangerous Medicine
El hotel de los chiflados
Arimunding-Munding
Who Goes Next?
Bituing Marikit
The Night Hawk (1938 film)
Nanon (1938 film)
Jungle Jitters
Gangs of New York (1938 film)
Princess Tarakanova (film)
The Sisters (1938 film)
Come On, Leathernecks!
Joy of Living
Giuseppe Verdi (film)
Five of a Kind
Blondes at Work
Six-Gun Trail
Crashing Hollywood (1938 film)
Room Service (1938 film)
Call the Mesquiteers
Inspector Hornleigh (film)
Mala Pilla
Dulhan (1938 film)
If I Were King
Cocoanut Grove (film)
La rubia del camino
Tarnished Angel
The Shanghai Drama
Lightning Conductor (film)
The Caranchos of Florida (film)
Volga-Volga
Four's a Crowd
Strange Boarders
Brother Rat
Comrades at Sea
Incident in Shanghai
Hold My Hand (film)
Five Scouts
Flight to Fame
Sinners in Paradise
Luck of the Navy
Sweethearts (1938 film)
Wish upon a Pike
Love and Curses
Komsomolsk (film)
Partners of the Plains
Going Places (1938 film)
Panamint's Bad Man
Safety in Numbers (1938 film)
Prison Nurse
J'accuse! (1938 film)
Secrets of a Nurse
Goodbye Buenos Aires
The Higgins Family
Federal Man-Hunt
Say It in French
Glamour Girl (film)
Tip-Off Girls
Newsboys' Home
Silver Top
Mystery House (1938 film)
Penny Paradise
A Spot of Bother (film)
A Aldeia da Roupa Branca
Man-Proof
Lutaru Lalna
Oh Iboe
Pudgy the Watchman
Stolen Heaven (1938 film)
Kentucky (film)
Porky's Spring Planting
Nandakumar (film)
Holiday (1938 film)
My Old Kentucky Home (1938 film)
The Law They Forgot
Jailor (1938 film)
Profesor Wilczur
My Bill
Self Control (film)
Merrily We Live
The Secret of Treasure Island
Air Devils
The Challenge (1938 film)
The Law West of Tombstone
Out of the Inkwell (1938 film)
You're the Doctor
Tassels in the Air
Street Singer (film)
Down on the Farm (1938 film)
Always in Trouble
Triad (film)
Boys Town (film)
Marigold (1938 film)
Mirror of Life
Heimat (1938 film)
Double Danger (1938 film)
Riders of the Black Hills
Angels with Dirty Faces
When G-Men Step In
The Invisible Menace
La Marseillaise (film)
Be Up to Date
Fugitives for a Night
Romance on the Run
Honest Love and True
Alexander Nevsky (film)
Men Are Such Fools
Desa Munnetram
Everybody's Doing It (1938 film)
Jettatore
Love Finds Andy Hardy
Red Orchids
Fusilier Wipf
Three Comrades (film)
Bank Holiday (film)
Dead Men Tell No Tales
Brave Little Tailor
El Casamiento de Chichilo
Donald's Nephews
The Little Adventuress
