Le Secret de Mayerling
Vote for Huggett
Mickey Magnate
Category:1949 television films
The History of Mr. Polly (film)
The Great Dan Patch
In the Name of the Law (1949 film)
Abandoned (1949 film)
The Forbidden Street
Los amores de una viuda
El diablo no es tan diablo
King of the Rocket Men
Eine große Liebe
High Jinks in Society
Pueblerina
Unser täglich Brot (1949 film)
Fabiola (1949 film)
The Life of Riley
Everybody Does It
A Run for Your Money
Outcasts of the Trail
Joe Palooka in the Big Fight
Mr. Belvedere Goes to College
Pippi Longstocking (1949 film)
Alias the Champ
Come to the Stable
A Boy, a Girl and a Bike
The Perez Family (1949 film)
She Wore a Yellow Ribbon
Sheriff of Wichita
Once a Jolly Swagman
Masked Raiders
Ma and Pa Kettle (film)
School for Randle
Return to Life
Faddija – La legge della vendetta
The Firemen of Viggiù
Badger's Green (1949 film)
Manon (film)
Love Happy
The Blue Lagoon (1949 film)
Homicide (1949 film)
All the King's Men (1949 film)
The Secret Garden (1949 film)
Anthony of Padua (film)
Give Us This Day
Johnny Holiday (film)
Tjitra
Stray Dog (film)
The Adventures of Ichabod and Mr. Toad
Law of the Golden West
Adam's Rib
Impact (film)
Sorrowful Jones
Wicked City (1949 film)
The Emperor of Capri
Boys in Brown
Family Honeymoon
Novia a la medida
The Younger Brothers
Man on the Run
The Demon is an Angel
Dating Do's and Don'ts
Pinky (film)
The Mutineers (film)
Manhandled
Dillagi (1949 film)
Bridge (1949 film)
Yvonne of the Night
Gadis Desa
Top o' the Morning (film)
Prison (1949 film)
Down Dakota Way
The Lead Shoes
Balam (1949 film)
Janika (film)
In the Good Old Summertime
Now Barabbas
Black Magic (1949 film)
Bitter Rice
Kenji Comes Home
Incident (film)
The Ghost Talks (1949 film)
Rotation (film)
She Shoulda Said No!
Colorado Territory (film)
Dunked in the Deep
A Connecticut Yankee in King Arthur's Court (1949 film)
Susanna Pass
The Adventures of Jane
Puce Moment
Bazaar (1949 film)
Batman and Robin (serial)
The Clay Pigeon
Totò cerca casa
Las tandas del principal
The Mysterious Desperado
Trapped (1949 film)
Who Done It? (1949 film)
Helter Skelter (1949 film)
Totò Le Mokò
Reign of Terror (film)
Dynamite (1949 film)
Special Agent (1949 film)
Red Canyon (1949 film)
Mysterious Shadows
Brimstone (1949 film)
Maytime in Mayfair
Prince of the Plains
The Secret of St. Ives
Ai le zhongnian
Late Spring
Jigsaw (1949 film)
The Hasty Heart
Quartett zu fünft
The Romantic Age
Doctor Morelle
Only a Mother
House of Strangers
Jiggs and Maggie in Jackpot Jitters
Technicolor for Industrial Films
Le Silence de la mer (film)
Noson Lawen (film)
Golden Arrow (film)
Death Valley Gunfighter
That Midnight Kiss
The Magician (1949 film)
For Them That Trespass
The Lost People
Iracema (1949 film)
Beyond the Forest
Shockproof
Aquatic House Party
Mahal (1949 film)
Africa Screams
Slattery's Hurricane
Category:1949 animated films
Don't Ever Leave Me
Odoroki ikka
Au grand balcon
The Murder Trial of Doctor Jordan
Rose of the Yukon
Winter Storage
Dancing in the Dark (1949 film)
A Story of the Nineties
Ginza Kankan Musume
My Foolish Heart (film)
The Lucky Stiff
La Cuna vacía
Neptune's Daughter (1949 film)
The Story of Seabiscuit
Thieves' Highway
Whisky Galore! (film)
Strong Is the Seed
Marry Me! (1949 film)
Die blauen Schwerter
Zorina (film)
White Heat
Angels in Disguise (film)
Cardboard Cavalier
Mountain Crystal
Love '47
Crocodile Hunters
Barbary Pirate (film)
Tension (film)
Alexander Popov (film)
The Marriage of Figaro (film)
On the Town (film)
Brothers in the Saddle
Cossacks of the Kuban
Hokus Pokus (1949 film)
Sawan Aya Re
A Chance to Live
The Bribe
City Across the River
Visit to Picasso
So Much for So Little
Un Hombre solo no vale nada
Between Eleven and Midnight
Criss Cross (film)
The Mill on the Po
Ranger of Cherokee Strip
The Poacher's Foster Daughter or Noble Millionaire
The Rising Tide (film)
The Inspector General (film)
Take Me Out to the Ball Game (film)
Adventure in Baltimore
Tarzan's Magic Fountain
Snow White and the Seven Thieves
The Bohemian Soul
Sand (1949 film)
Eterna agonía
Keelu Gurram
Streets of Laredo (film)
Udhaar
All Over the Town
Mother Is a Freshman
Vient de paraître
The Red Menace (film)
Toy Tinkers
The Heiress
Crows and Sparrows
Home of the Brave (1949 film)
The Girl in Room 20
Rim of the Canyon
Pacific 231 (film)
Trouble at Melody Mesa
Vidalita
Savage Splendor
Divá Bára
Singoalla (film)
Stop Press Girl
The Undercover Man
Sons of Matthew
Hardly a Criminal
The Emperor's Nightingale
Madness of the Heart
Women Side by Side
Eroica (1949 film)
Tale of the Navajos
Dulari (film)
Almafuerte (film)
Eureka Stockade (1949 film)
The Cure for Love
Silent Dust
Judgement Day (1949 film)
Burlesque in Harlem
Alimony (1949 film)
The Lost Tribe (1949 film)
Flame of Youth
Tokyo Joe (1949 film)
You're My Everything (film)
Knock on Any Door
Trottie True
A Dead Man Among the Living
Sky Dragon
A Matter of Murder
Café de chinos
Five Red Tulips
Illegal Entry (film)
Historia del tango
The Red Pony (1949 film)
Pioneer Marshal
El colmillo de Buda
Roughshod (film)
The Beaver Coat (1949 film)
The Accused (1949 film)
Bruce Gentry – Daredevil of the Skies
The Kid from Cleveland
Little Women (1949 film)
Rodinné trampoty oficiála Tříšky
Big Jack (film)
Det gælder os alle
Sword in the Desert
Mother Riley's New Venture
South of Rio
Easy Living (1949 film)
The Dynamite Brothers
The Queen of Spades (1949 film)
Arctic Fury
Heart to Heart (1949 film)
