Westinghouse Works, 1904
Tracked by Bloodhounds; or, A Lynching at Cripple Creek
The Christmas Angel
A Nigger in the Woodpile
Maniac Chase
Barcelone, Parc au crépuscule
The Impossible Voyage
The Bold Bank Robbery
The Barber of Seville (1904 film)
An Adventurous Automobile Trip
The Suburbanite
Burglars at Work
Parsifal (1904 film)
