The Big Bankroll
Seawards the Great Ships
Alice in the Navy
El mundo de los vampiros
Amar Rahe Yeh Pyar
Małżeństwo z rozsądku
The Mark (1961 film)
A Soldier's Prayer
Murder, She Said
The Night We Got the Bird
The Coachman (film)
The Cat Burglar
Fetters (film)
The Crimebusters
Bhakta Jayadeva
Prince Yeonsan (film)
Square of Violence
West Side Story (film)
Saptapadi (1961 film)
The Police Dog Story
Cry for Happy
Hercules in the Haunted World
The Adventures of Lucky Pierre
Five Marines
Procesí k Panence
His Women
Kumudham
Konga (film)
Stree (1961 film)
El Cid (film)
Double Bunk
Lola (1961 film)
Zero Focus
Black City (film)
Ogniomistrz Kaleń
Homicidal
Man in Outer Space
Samson (1961 Italian film)
Blue Hawaii
The Fascist
The Soldiers of Pancho Villa
Romolo e Remo
The Parent Trap (1961 film)
Naked Youth
The End of Summer
Goodbye Again (1961 film)
Roop Ki Rani Choron Ka Raja (1961 film)
Hamari Yaad Aayegi
Summer Skin (film)
The Lawbreakers
The Sea Knows
Amazons of Rome
Five Days, Five Nights (1960 film)
September Love
Les Mauvais Coups
Alias Gardelito
El Hombre de la ametralladora
The Hand in the Trap
Highway to Battle
Pasamalar
Rififi in Stockholm
The Green Archer (1961 film)
The Greengage Summer
The Invincible Gladiator
Go Naked in the World
The Wizard of Baghdad
Passport to China
Susanne (1961 film)
Joseph and the Dreamer
Donald and the Wheel
Kandam Becha Kottu
Amelie or The Time to Love
Boy Friend (1961 film)
Komtessen
Whistle Down the Wind (film)
Gun Fight (film)
No Love for Johnnie
The Treasure of Monte Cristo
Destination Fury
The Last Sunset (film)
Five Day Lover
One Hundred and One Dalmatians
Last Year at Marienbad
Strangled Eggs
Geliebte Hochstaplerin
Boys Beware
The Green Helmet
Mother Joan of the Angels
Jetpiloter
The Brute (1961 film)
The Court Martial of Major Keller
Cradle of Genius
Dentist on the Job
Krishna Kuchela
Sniper's Ridge
Master of the World (1961 film)
Bharya Bhartalu
This Earth Is Mine (1961 film)
Through a Glass Darkly (film)
Iddaru Mitrulu (1961 film)
Male and Female Since Adam and Eve
Rozstanie
Kukuli
