Jalsaghar
From Hell to Texas
Ghar Sansar (1958 film)
Sayyidat al-Qasr
Blood Arrow
As Young as We Are
The Bride and the Beast (film)
Las mil y una noches
The Blue Peter (1955 film)
Johnny Rocco
The Sailor's Song
Mimi Pinson (1958 film)
Apache Territory
Heart of a Child
The Space Children
Giant from the Unknown
The Deep Six
Musik ombord
Hitogui Ama
Gopher Broke
Benten Kozō (1958 film)
Los Santos Reyes
Attack of the Puppet People
The Revenge of Frankenstein
A Time to Love and a Time to Die
Tread Softly Stranger
Sergeant Hassan
Mardi Gras (1958 film)
La Fille de Hambourg
Up the Creek (1958 film)
Miss Stone (film)
Weasel While You Work
Eroica (1958 film)
El Hombre que hizo el milagro
Strange Gods
Cat Feud
Yoru no kiba
Imitation General
Chase a Crooked Shadow
Lajwanti
L'amore più bello
Petra Maganai Vitra Annai
The Night Heaven Fell
Stage Struck (1958 film)
The Screaming Skull
Forever Yours (1959 film)
Rocket Attack U.S.A.
Fiend Without a Face
A Nice Little Bank That Should Be Robbed
Tatort Berlin
Young Husbands
The Barbarian and the Geisha
Two Men and a Wardrobe
Lala Rookh (1958 film)
Murder by Contract
Brink of Life
The Living Stone
The Duke Wore Jeans
Dunkirk (1958 film)
Fanfare (film)
The Goddess (1958 film)
Klotz am Bein
Big Deal on Madonna Street
A Clean Sweep (1958 film)
The Castle of the Monsters
No Time to Be Young
Battle of the V-1
Category:Lists of 1958 films by country or language
Sie kannten sich alle
In Case of Adversity
Farewells
Links of Justice
Kabhi Andhera Kabhi Ujala
Athisaya Thirudan
Pellinaati Pramanalu
Home Before Dark (film)
Mariakutty
Stormy Crossing
Reifender Sommer
Portrait of Alison
You Are My Adventure
The Bonnie Parker Story
Howrah Bridge (film)
Hell Squad (1958 film)
Kyōen Kobanzame
Občan Brych
A Slope in the Sun
Ashes and Diamonds (film)
Country Music Holiday
The Lineup (film)
Zimbo (film)
Stolen Desire
Der eiserne Gustav
Mukha (1958 film)
The Lovers of Montparnasse
Dracula (1958 film)
El hombre y el monstruo
Chalti Ka Naam Gaadi
The Empty Star
The Notorious Mr. Monks
Rosemary (film)
El Jefe (film)
Eva (1958 film)
Mehndi (1958 film)
L'amore nasce a Roma
Le Miroir à deux faces
Handle with Care (1958 film)
The Hidden Fortress
The Bellboy and the Playgirls
Geschwader Fledermaus
Madhumati
The Perfect Furlough
Ooh... diese Ferien
The Muzzle (1958 film)
Desire (1958 film)
The Female Animal
Light House (1958 film)
Sassi Punnu (1958 film)
The Beautiful Legs of Sabrina
Escapement (film)
Desert Hell
This Angry Age
La Caleta olvidada
Next to No Time
Sierra Baron
Blind Spot (1958 film)
Zesshō (1958 film)
Tuppe tuppe, Marescià!
Nor the Moon by Night
The Fearmakers
Una cita de amor
The Last Day of Summer
I Dutifully Report
La odalisca No. 13
Run Silent, Run Deep (1958 film)
The Warrior and the Slave Girl
A sablazo limpio
Ut av mørket
Nairu Pidicha Pulivalu
Goha
South Pacific (1958 film)
Ashita wa Ashita no Kaze ga Fuku
Party Girl (1958 film)
Ciulinii Bărăganului
Ride a Crooked Trail
Fortunella (film)
Dust in the Sun
Kenpei to Yurei
The Elephant in a China Shop
Rock-A-Bye Baby (film)
The Hideous Sun Demon
Toto and Marcellino
Bhookailas (film)
The Light in the Forest (film)
Kadan Vaangi Kalyaanam
Pastor Jarman kommer hjem (film)
Immer die Radfahrer
Gigi (1958 film)
Mannequin in Red
The Star of Santa Clara
Voice in the Mirror
Shree Krishna Gaarudi
Seksdagesløbet
The Tarnished Angels
Wind Across the Everglades
Dulhan (1958 film)
Ni vu, ni connu (1958 film)
Head Against the Wall
De Nieuwe Avonturen van Dik Trom
The Black Orchid (film)
King Creole
The Naked Maja
Cuatro en la frontera
The Blob
Journey into Spring
Portrait of Gina
Gideon's Day (film)
Moment of Indiscretion
Man or Gun
One Life (1958 film)
Juvenile Jungle (film)
Lonelyhearts
Tonka (film)
Sarangadhara (1958 film)
The Ballad of Narayama (1958 film)
Andy Hardy Comes Home
Anna Lucasta (1959 film)
Tempest (1958 film)
Solva Saal
The Naked and the Dead (film)
Vagabonderne på Bakkegården
Lilly (film)
Adorabili e bugiarde
Psychiatric Nursing
Manchi Manasuku Manchi Rojulu
Equinox Flower
Man of the West
The Man Inside (1958 film)
Melancholic Autumn
Perdesi (1958 film)
Young Sinners (1958 film)
The Buccaneer (1958 film)
Corridors of Blood
Herod the Great (film)
Flaming Frontier
The Spaniard's Curse
Bommai Kalyanam
Sebastian Kneipp (film)
The Badlanders
I Married a Monster from Outer Space
Eugene Onegin (film)
Further Up the Creek
Everglade Raid
Mikosch, the Pride of the Company
Nuregami kenpō
Showdown at Boot Hill
The Mighty Crusaders (film)
Dōtei shain to yoromeki fujin
Raj Tilak (1958 film)
The Big Money (film)
Endless Desire
Heroes del Aire
Three Strangers in Rome
The Geisha Boy
On Distant Shores
Villa!!
Serenade of Texas
The Tunnel of Love
12 O'Clock (film)
How to Make a Monster (1958 film)
The Phantom Carriage (1958 film)
Peter Voss, Thief of Millions (1958 film)
Son of a Stranger
Tortilla Flaps
The Lone Ranger and the Lost City of Gold
A Question of Adultery
Onionhead
Forty Guns
Machete (1958 film)
Gopichand (film)
Enchanted Island (film)
Livets vår
The Hunters (1958 film)
Maxime (film)
La Hermosa mentira
The Sky Through the Trees
Anbu Engey
The Loyal 47 Ronin
Daughter of the Party
Step Down to Terror
Super Giant
The Christ of the Lanterns
Tarzan's Fight for Life
I prepotenti
Mister Iks
Oi paranomoi
Bustenskjold
Machine-Gun Kelly (film)
Sword of Blood and Valour
Hitohada Kujaku
Blood of the Vampire
A Night to Remember (1958 film)
Toto in the Moon
My Wife Makes Music
Flood Tide (film)
Las señoritas Vivanco
Piloten, Propeller und Turbinen
The Girl from the Marsh Croft (1958 film)
The Brain Eaters
Oil's Well That Ends Well
The Copper
The Possessors
St. Peter's Umbrella (1958 film)
The Fabulous World of Jules Verne
La sfida
On the Run (1958 film)
Girls at Sea (1958 film)
Pies and Guys
Me and the Colonel
Ein Mädchen von 16 ½
El Hombre y su noche
Parash Pathar
The Richest Girl in the World (1958 film)
The Horse's Mouth (film)
Space Master X-7
Frankenstein 1970
The Quiet American (1958 film)
La sposa
In the Money
Tana (film)
The Venetian (film)
The Bank Raiders
When Hell Broke Loose
The Sword and the Cross
Flying Saucer Daffy
Rickshaw Man
Frankenstein's Daughter
Wonderful Things!
Voice Without a Shadow
Badman's Country
The Party Crashers
Jazzgossen
Subarashiki dansei
Maftuningman
I Married a Woman
A Woman of Mystery
Underwater Warrior
The World Was His Jury
Sahara (1958 film)
Island Women
Al-Zawjah al-Azra'
Violent Playground
The Lady Takes a Flyer
Vengeance (1958 film)
Farishta (1958 film)
Merry Andrew (film)
A Bullet in the Gun Barrel
Father of Four and the Wolf Cubs
Iron Flower
The Sky Burns
Tabarin (film)
Taxi, Roulotte et Corrida
Kundiman ng Puso
Night Club (1958 film)
Mark of the Phoenix
Tamango
Knighty Knight Bugs
Ajantrik
The Left Handed Gun
From the Earth to the Moon (film)
The Sheriff of Fractured Jaw
Terror from the Year 5000
Escort West
Happy is the Bride
Annaiyin Aanai
Krudt og klunker
Earth vs. the Spider
The Long, Hot Summer
Innocent Meeting
Passport to Shame
Sohni Mahiwal (1958 film)
Scampolo
Intent to Kill
The Fiend Who Walked the West
Maracaibo (film)
Vanjikottai Valiban
The Proud Rebel
She Demons
Miss April (1958 film)
Going Steady (film)
Arashi no naka o tsuppashire
The Black Scorpion (film)
The Littlest Hobo
It Happened in Mexico
Münchhausen in Afrika
No Time for Sergeants (1958 film)
Toi, le venin
Nadodi Mannan (1958 film)
The Man Upstairs (film)
Hot Spell (film)
The Moonraker
Jenny (1958 film)
Crash Landing (1958 film)
¡Paso a la juventud..!
The Snowy Heron
Rabies (1958 film)
Hercules (1958 film)
She Gods of Shark Reef
Parai Zameen
La Tour, prends garde !
The Key (1958 film)
Le désordre et la nuit
Category:1958 television films
Kings Go Forth
El Jinete negro
A Certain Smile (film)
The Sword Stained with Royal Blood (film)
The Robot vs. The Aztec Mummy
The Trapp Family in America
Cairo Station
Der Prozeß wird vertagt
Chaque jour a son secret
The Violet Seller
Some Came Running (film)
China Doll (film)
Amar Deep (1958 film)
The Missouri Traveler
Uthama Puthiran (1958 film)
Kaathavaraayan
Do Phool (1958 film)
Kala Pani (1958 film)
Del cuplé al tango
Thundering Jets
Escuela para suegras
Dragstrip Riot
Véronique et son cancre
Dos basuras
Girls for the Summer
Bhanu Pelo Lottery
Hanatarō Jumon
The Last Rebel (film)
Invisible Avenger
Hello London
The Doctor's Dilemma (film)
Neptune Mission
Snowfire
Tom Thumb (film)
Pre-Hysterical Hare
It! The Terror from Beyond Space
Noose (1958 film)
Employees Only
Behind the Mask (1958 film)
Rosaura at 10 O'Clock
Jailor (1958 film)
Aji Bas Shukriya
Jamila, the Algerian
H-8 (film)
Frontier Gun
En 50 ans
Tarawa Beachhead
Ambush at Iga Pass
The Trollenberg Terror
The Two-Headed Spy
Nur eine Frau
I Want to Live!
Too Much, Too Soon
The Doctor of Stalingrad
A Tale of Two Cities (1958 film)
Ice Cold in Alex
Murder at Site 3
Let's Rock
Curse of the Faceless Man
I Accuse!
I Only Arsked!
School for Coquettes (1958 film)
Phagun (1958 film)
Antarctic Crossing
Buchanan Rides Alone
Glass (film)
Grand Canyon (1958 film)
The Mugger
Der Schinderhannes
Boologa Rambai
No Place to Land (film)
Senior Prom (film)
Der Lotterieschwede
Saddle the Wind
Elias rekefisker
Quiz Whizz
Una Cita con la vida
Hot Rod Gang
A Pizza Tweety Pie
Desire Under the Elms (film)
Gauri Shankar (1958 film)
Gang War (1958 film)
Yūkyō Gonin Otoko
Sampoorna Ramayanam (1958 film)
A Few Drinks
A Cry from the Streets
The Silent Enemy (1958 film)
Megitsune Buro
The Law and Jake Wade
Chandu (1958 film)
Daddy-O
ChatSua
Be Beautiful But Shut Up
Chenchu Lakshmi
Seven Guns to Mesa
El Festín de Satanás
Gefährdete Mädchen
Fort Massacre
The Whole Truth (1958 film)
Toughest Gun in Tombstone
Outcasts of the City
Hvězda jede na jih
Toto, Peppino and the Fanatics
Lyubimetz 13
Dilli Ka Thug
The Matchmaker (1958 film)
Le Beau Serge
Styrmand Karlsen
High School Hellcats
En la ardiente oscuridad (film)
The Badger Palace
Al-Tareeq al-Masdood
Detective (1958 film)
Fräulein (1958 film)
Ambush at Cimarron Pass
Nasser Asphalt
The Lovers (1958 film)
Fifi Blows Her Top
Woman Possessed
Wild Heritage
Sabaash Meena
The True Story of Lynn Stuart
De Londres llegó un tutor
Chaubees Ghante
Cattle Empire
Paris Holiday
Mon Oncle
Varan the Unbelievable
Vertigo (film)
Elevator to the Gallows
Demasiado jóvenes
Ten North Frederick (film)
Innocent Sinners
The Man Who Wouldn't Talk (1958 film)
Live Fast, Die Young (film)
Nichiren to Mōko Daishūrai
The Green Devils of Monte Cassino
Le insaziabili
A Bird in a Bonnet
A Movie
Pobres habrá siempre
Teenage Monster
Naked Sun (film)
Les raquetteurs
Sunday Encounter
Chandan (1958)
