Carmen on Ice
Grim Prairie Tales
Lung Fung Restaurant
HaDerekh LeEin Harod
Bullseye!
Periya Veetu Pannakkaran
Postcards from the Edge (film)
Mera Pati Sirf Mera Hai
Randam Varavu
The Dive
Arangetra Velai
Horse and Woman and Dog
Rathilayangal
Mankurt (1990 film)
Cheriya Lokavum Valiya Manushyarum
Chuvappu Naada
Ganashatru
Saaphalyam
Clarence (1990 film)
Oseam (1990 film)
House Party (film)
Bamunan
Made in Milan
Trust (1990 film)
Rosencrantz & Guildenstern Are Dead (film)
Pondatti Thevai
A Man Called Sarge
The Prince and the Pauper (1990 film)
Miami Blues
Pokhorony Stalina
Streets (film)
Voodoo Dawn
Aashiqui
Rosa I Love You
Love Under the Date-Tree
Life Is Sweet (film)
Taxi Blues
Doodh Ka Karz
Mane (film)
Loose Cannons (1990 film)
Quest for the Mighty Sword
Uranus (film)
The World According to John Coltrane
It (1990 film)
Close-Up (1990 film)
Muthina Haara
Daddy's Dyin': Who's Got the Will?
Maria's Stomach
Ballad of Kurbin
Kizhakkan Pathrose
The World Intellectuals
Naanum Indha Ooruthan
Always Remember I Love You
Nammoora Hammera
Kasak (1992 film)
Leatherface: The Texas Chainsaw Massacre III
Yearning (1990 film)
The Lovers of Woomook-baemi
Three Men and a Little Lady
Predator 2
The Witches (1990 film)
Eternity (1990 film)
The Guardian Angel (film)
Baby Blood
Noottonnu Raavukal
Nuns on the Run
Maha-Sangram
Daddy Nostalgie
Arachnophobia (film)
La Pandilla aventurera
To Play or to Die
Eka Peksha Ek
Gumapang Ka Sa Lusak
Mathe Haditu Kogile
Graveyard Shift (1990 film)
Captive of the Desert
The Krays (film)
The Bonfire of the Vanities (film)
Pati Parmeshwar
Angels (1990 film)
Jit (film)
Harbour Beat
Zapped Again!
Book of Love (1990 film)
Jagathalaprathapan (1990 film)
Def by Temptation
Between Two Worlds (1990 film)
Prem Qaidi
White Palace (film)
Night Eyes
Rockula
Aarathi Edungadi
Jawani Zindabad
The Rift (1989 film)
Licence to Steal
Magic Cop
Sher Dil (Pakistani film)
Maalayogam
Mermaids (1990 film)
Cadence (film)
Eagle (1990 film)
Khatarnaak
Live in East Berlin
An Imaginary Tale
Hum Se Na Takrana
I Bought a Vampire Motorcycle
An Angel at My Table
Puthu Paatu
Cool Blue
Kroadh
Pathar Ke Insan
Return Engagement (1990 film)
Xtro II: The Second Encounter
