The Mirror Crack'd
The Adventures of Sherlock Holmes and Dr. Watson (film)
Cordélia
Prakadanam
Uchakattam
The Boy Who Drank Too Much
Inferno (1980 film)
Coyote and Bronca
Iniyum Marichittillatha Nammal
Buchchi Babu
Bizalom
Anthappuram
Stir Crazy (film)
When a Stranger Calls (1979 film)
Deepam (film)
Return to the 36th Chamber
Midnight Madness (film)
Tora's Tropical Fever
Madness (1980 film)
Rough Cut (1980 film)
Sardar Papa Rayudu
The Rip-Off
Sir Henry at Rawlinson End (film)
Whitey (film)
Kakabakaba Ka Ba?
Hero at Large
Enga Ooru Rasathi
The Legend of Alfred Packer
Girl Mistress
The Agency (film)
The Club (1980 film)
Aarohanam (film)
Look Back in Anger (1980 film)
Aakrosh (1980 film)
Day of the Cobra
Be-Reham
Falling in Love Again (1980 film)
Wrong Side of the Road
The Hounds of Notre Dame
Raise the Titanic (film)
The Octagon (film)
Swarga Devatha
Ashwaradham
The Promise of Love
The Precarious Bank Teller
Dr. Heckyl and Mr. Hype
Beyond Evil
Daaliya Pookkal
Aayiram Pookkal Malarattum
Don't Go in the House
Le Voyage en douce
Petria's Wreath
The Last Flight of Noah's Ark
Kalika (film)
Stunt Rock
Laughing Times
Le Bon Plaisir
Ka Kee
Exit... nur keine Panik
Ruckus (film)
Ek Baar Kaho
Moorkhan (film)
Ithikkara Pakki
Catherine de Heilbronn
Attica (film)
First Family (film)
Mia moglie è una strega
Painful Maturity
Ayyam al-tawila, al-
Alexander the Great (1980 film)
Gramatthu Minnal
Wolf Lake (film)
Jane Austen in Manhattan
The Baltimore Bullet
Ratha Paasam (1980 film)
Frontera (1980 film)
A Piece of Sky (1980 film)
Tribute (1980 film)
Manku Thimma
Hardly Working
Challenge of the Tiger
Zappatore
Phir Wahi Raat
Oru Kai Osai
Pooviriyum Pulari
Foster Daddy, Tora!
Jaathi Pookkal
The Competition (film)
Thazhuvatha Kaigal
O Homem que Virou Suco
The Last Metro
La Nuit des Traquées
Tudo Bem (film)
Rising Damp (film)
Middle Kingdom's Mark of Blood
Needhi Pizhaithathu
Porklips Now
The Happy Hooker Goes Hollywood
Flag of Iron
Sitting Ducks (film)
Il ladrone
Naan Sonnathey Sattam
Vasantha Geetha
Kismat Ki Baazi
Indru Nee Nalai Naan
The Free Voice of Labor
Komaram
Loulou (film)
Cutting It Short
The Space Movie
Three Men to Kill
The Young Master
The Last Married Couple in America
Agni Sanskaram
The Adventures of the Elektronic
Popeye (1980 film)
Kalyana Paravaigal
Murder: Ultimate Grounds for Divorce
Voltati Eugenio
Burebista (film)
The Master Strikes
D.O.A.: A Rite of Passage
Apne Paraye
Rowdy Ramudu Konte Krishnudu
Encounters of the Spooky Kind
Annanukku Jai
The Pumaman
Stardust Memories
Puzha (film)
A Step Away
Adimai Vilangu
Laat de Dokter maar Schuiven
Madicken på Junibacken
Closet Cases of the Nerd Kind
The Exterminator
Arangum Aniyarayum
Gaijin: Roads to Freedom
Krakonoš a lyžníci
The Blues Brothers (film)
Public Telephone (film)
Category:Lists of 1980 films by country or language
Ek Baar Phir
Der Spiegel des großen Magus
Skyward (film)
The Calm (film)
The Sea Wolves
Ondu Hennu Aaru Kannu
The Yolk's on You
Nutcase (film)
Ivargal Varungala Thoongal
Land and Sons
Nightmares (1980 film)
Oh! Heavenly Dog
Chandipriya
Aniyatha Valakkal
Legend of the Fox
Ciao marziano
Ezhuthatha Sattangal
Virus (1980 film)
The Rebel (1980 French film)
Friday the 13th (1980 film)
Permanent Vacation (1980 film)
Vamsa Vruksham
Eetti (1985 film)
Sita Ramulu
Fun Is Beautiful
Doraemon: Nobita's Dinosaur
Tonda Couple
Anandha Kanneer
McVicar (film)
Pikoo (film)
Muthuchippikal
Maa Bhoomi
Hussy
Do Aur Do Paanch
Rusthum Jodi
Chandra Bimbam
Slippery Slide
Benz Vasu
Kasturi (1980 film)
The Gods Must Be Crazy
Lootmaar
Little Darlings
La moglie in vacanza... l'amante in città
Next Stop Paradise
Cheaper to Keep Her (film)
The Long Good Friday
Ang Panday (1980 film)
Chaar Maharathi
Mondo Cannibale
Death Ship (1980 film)
The Ninth Configuration
Teeny-Tiny and the Witch-Woman
Bronco Billy
Arthamulla Aasaigal
Red Rose (1980 film)
Dadar Kirti
A Distant Cry from Spring
The Victim (1980 film)
Sweet William (film)
The Watcher in the Woods
The Fly (1980 film)
La Cage aux Folles II
The Apple (1980 film)
Spetters
My American Uncle
Ritmo a todo color
Put on Ice
Kanne Radha
White Hair Devil Lady
The Life and Times of Rosie the Riveter
The Changeling (1980 film)
Immacolata and Concetta: The Other Jealousy
Seindah Rembulan
Scout's Honor (film)
The Tale of John and Mary
Thathayya Premaleelalu
Rahasya Rathri
Berlin Alexanderplatz (miniseries)
Vaiki Vanna Vasantham
Theenalangal
Bara (film)
Hum Paanch (film)
A Guru Comes
Dhan Daulat
The Satisfiers of Alpha Blue
Lava (1980 film)
Happy Birthday, Gemini
Running Scared (1980 film)
Moogana Sedu
Milka – A Film About Taboos
Café Express (film)
Raagam Thaanam Pallavi
Cannibal Holocaust
Contamination (film)
Los Miedos
Witches' Brew (film)
Lost Homeland
Agee (film)
Polladhavan (1980 film)
Crucero de placer
Funeral Home (1980 film)
Crazy Thunder Road
Alai Osai
Ithile Vannavar
The Black Marble
Nǃai, the Story of a ǃKung Woman
The Leg Fighters
The Children (1980 film)
That's Me, Too
Health (film)
Insatiable (film)
The Chocolate Chase
The Little Dragons
Hell of the Living Dead
Novia, Esposa y Amante
Coach of the Year (film)
Saraswathi Yaamam
La playa del amor
This Year's Blonde
The Nest (1980 film)
Richard's Things
Roba da ricchi
Sivapputhaali
The Thundering Mantis
Der Mann, der sich in Luft auflöste
Be Forever Yamato
Never Never Land (film)
Karaiyellam Shenbagapoo
Cuba Crossing
Agent 009
I Hate Blondes
Pepi, Luci, Bom
Jathara
Oh, God! Book II
The Private Eyes (1980 film)
Sau Din Saas Ke
Air Hostess (1980 film)
Roadie (film)
The Stunt Man
Simha Jodi
Night of the Demon (1980 film)
Sexo vs. sexo
Used Cars
Breaking Glass
Innallenkil Naale
Flame Top
Resurrection (1980 film)
The Orchestra Conductor
Borderline (1980 film)
Coast to Coast (1980 film)
La Discoteca del amor
Egon Schiele – Exzess und Bestrafung
Subhodayam
Kaavalmaadam
Pralayam
Speed Cross
The Lucky Star (film)
Pyaara Dushman
Fabian (film)
Ambalavilakku
Bad Timing
Ram Balram
Serial (1980 film)
The Great Rock 'n' Roll Swindle
Karunguyil Kundram
Pavizha Mutthu
Mama Dracula
City in Fear
The Island (1980 film)
Suzanne (1980 film)
Judaai (1980 film)
Rayilukku Neramachu
Hirak Rajar Deshe
Oggetti smarriti
The Green Room (film)
The House on the Edge of the Park
Manushya Mrugam (1980 film)
Private Benjamin (1980 film)
El Retorno del Hombre Lobo
Ordinary People
Pappu (film)
The Wedding Camels
Thirayum Theeravum
Desde el abismo
Khwab
Duck Dodgers and the Return of the 24½th Century
Jazbaat (1980 film)
Inside Moves
Insaf Ka Tarazu
Kallukkul Eeram
Aarada Gaaya
My Name Is Anna Magnani
Ninaivu Chinnam
Underground U.S.A.
Shaan (film)
Solo Sunny
Housata
The Unseen (1980 film)
Prema Tarangalu
Caddyshack
Nakili Manishi
Idhayaththil Ore Idam
Don't Mess with Bill (film)
Maang Bharo Sajana
Rude Boy (film)
The Heroes (1980 film)
Dressed to Kill (1980 film)
Catherine and I
The Hockey Sweater
Behram Daku
Qurbani (film)
Days of Inspector Ambrosio
Fumoon
The Woman Cop
Esthappan
Arrivano i bersaglieri
Antha Rathirikku Satchi Illai
A Leap in the Dark
Superman II
Sathyam (1980 film)
El Diablo metió la pata
Concert for Kampuchea
Tholi Kodi Koosindi
Khanjar (1980 film)
Fade to Black (1980 film)
Heaven's Gate (film)
Melvin and Howard
Oormakale Vida Tharu
A Small Circle of Friends
Operation Leopard
Raman Parasuraman
It Rained All Night the Day I Left
Harlequin (film)
Eden Thottam
No Nukes (film)
A Mess in the House
The Outsider (1980 film)
Waiter, Scarper!
Gloria (1980 film)
Brothers and Sisters (1980 film)
The Vengeance of the Winged Serpent
Marigolds in August (film)
Idhu Unga Kudumbam
Little Miss Marker (1980 film)
Sacred Ground (film)
The Georgia Peaches
The Last Hunter
Aanchal (1980 film)
Theekkadal
Yemaatrathe Yemaaraathe
Poto and Cabengo
Idi Muzhakkam
Men or Not Men
Kavithai Paada Neramillai
Nightkill
Fist of Fear, Touch of Death
Final Cut (1980 film)
Blank Generation (1980 film)
Billa (1980 film)
A Week's Vacation
The Empire Strikes Back
Gde ty, lyubov'?
Nyaya Neethi Dharma
Maybe This Time (1980 film)
Uthami
Talk Dirty to Me (film)
Murattu Kaalai (1980 film)
Zhizn i priklyucheniya chetyrekh druzei 1/2
Children's Island (film)
Vazhimariya Paravakal
Unbeaten 28
Act of Love (1980 film)
Anbulla Malare
Gorp (film)
Kaakki Sattai
Where the Buffalo Roam
Zoom In: Rape Apartments
Pattanakke Banda Pathniyaru
Return of the Secaucus 7
Seetha (1980 film)
Hunnimeya Rathriyalli
Bhavni Bhavai
Category:1980 television films
Paap Ko Jalaa Kar Raakh Kar Doonga
Alibaba Aur 40 Chor
Black Angel (1980 film)
The Cantabrians
Sooryante Maranum
Hanthakana Sanchu
The Constant Factor
Just Tell Me What You Want
La femme enfant
A Change of Seasons (film)
Every Man for Himself (1980 film)
The Formula (1980 film)
On the Nickel
Chora Chuvanna Chora
Nanna Rosha Nooru Varusha
Tusk (1980 film)
Toothache (film)
Sitara (film)
Heroes Shed No Tears (1980 film)
Unees-Bees
Night Games (1980 film)
Windwalker (film)
Onna no Hosomichi: Nureta Kaikyo
Elisita
The Elephant Man (film)
Leo and Loree
Adrien's Story
Nizhalgal
Up the Academy
The Gamekeeper (film)
City of the Living Dead
Sugar, Honey and Pepper
Patrick Still Lives
Final Assignment
Vishwaroopam (1980 film)
Kismet (1980 film)
Kaanatha Valayam
Angaadi
Kanalukku Karaiyethu
Janur Kuning
Swandam Enna Padam
Si salvi chi vuole
Agni Kshethram
Rakta Bandham
Aalay Pathu Malai Mathu
Yuvatharam Kadilindi
Olympics 40
The Hostage Tower
Chambal Ki Kasam
A Girl's Tears
The Boogeyman (1980 film)
Foxes (film)
Haine (film)
Narada Vijaya
Paadatha Thenikkal
Evening Rain
Tekkihei, Tonda
Luang ta
The Falls
Bona (film)
La dottoressa ci sta col colonnello
Youvanam Daaham
Aa Raathri
The Earthling
Kalyana Kalam
The Blue Lagoon (1980 film)
Babylon (film)
Alligator (film)
The Sword (film)
The Handyman (1980 film)
Oppol
Bhalu
The Truck
Prom Night (1980 film)
The Big Brawl
Eleftherios Venizelos (film)
Rusi (film)
Manganinnie
Schiele in Prison
Bhama Rukmani
Carny (1980 film)
Delusion (1980 film)
The Day After Trinity
Garlic Is as Good as Ten Mothers
Phoenix 2772
Speak White
Le Guignolo
Les sous-doués
Love in Singapore (1980 film)
New Year (1989 film)
Aanandha Kummi
Unarthupattu
Man from the South
Bárbara (film)
Jyoti Bane Jwala
To Be a Millionaire
Harischandrudu
Biligiriya Banadalli
Una Viuda descocada
Morcha (1980 film)
Mis días con Verónica
Savage Breed
Forbidden Zone
Animalympics
From Mao to Mozart: Isaac Stern in China
Dhinamthorum Deepavali
A Bad Son
Chunaoti
The Lady Banker
Bhaktha Hanuman
Varumayin Niram Sivappu
Patita (1980 film)
Cloud Dancer
Jal Mahal (film)
Billoo Badshah
Tony: Another Double Game
The Comeback (1980 film)
Somewhere in Time (film)
Kunguma Kodu
The Kidnapping of the President
Blázni, vodníci a podvodníci
Eaten Alive!
Sujatha (1980 film)
Home Movies (film)
Gamera: Super Monster
City of Women
Super Fuzz
Tell Me a Riddle (film)
Moon in Taurus
Herbie Goes Bananas
Avan Aval Adhu (1980 film)
Caboblanco
The Curse of King Tut's Tomb (1980 film)
The Rebel (1980 Italian film)
Don't Answer the Phone
Abdullah (film)
Dooram Arike
Pray TV
Dostana (1980 film)
Kanna Thorakkanum Saami
Driver Hanumanthu
How to Beat the High Cost of Living
Theru Vilakku
The Big Night Bathe
The Hollywood Knights
See You in the Next War
Fatso (1980 film)
Flatfoot in Egypt
The Sex and Violence Family Hour
Beyond the Reef (film)
Times Square (film)
Flash Gordon (film)
Xanadu (film)
The Final Countdown (film)
Neumi
Banker Bilo
Guru (1980 film)
Love in a Taxi
Adhu Antha Kaalam
A Deadly Secret (film)
The Secret of Nikola Tesla
Deadly Companion
Raging Bull
Gehrayee
Man Pasand
OHMS (1980 film)
At the Beginning of Glorious Days
Foolin' Around
