Looking for Langston
Pink Cadillac (film)
Warlord of Kayan
The Suckling
The Seventh Continent (1989 film)
Povratak Katarine Kožul
Doggie Adventure
Isle of Flowers
Killing Car
Aces Go Places 5: The Terracotta Hit
Vandanam
Lobster Man from Mars
Thick Skinned
The Experts (1989 film)
Blaze (film)
Scandal (1989 film)
Ghar Ka Chiraag
Echoes of Paradise
The Unbelievable Truth (film)
Zadar! Cow from Hell
Fascist Legacy
Abnormal Excitement: Nao Saejima
The Blood of Heroes
Sing (1989 film)
Red Scorpion
Yuwakusha
Troop Beverly Hills
Australia (1989 film)
The Meeting Point
The Romancing Star III
Bhale Donga
Jesus Christ's Horoscope
Hamburg Altona (film)
In Which Annie Gives It Those Ones
Food of the Gods II
Beyond the Stars
Anbu Kattalai
Sikka (film)
Premagni
Physical Evidence
Naagapanchami
State Rowdy
Black Sin
Hanım (film)
Mike Hammer: Murder Takes All
Ban This
Police Academy 6: City Under Siege
Ramji Rao Speaking
If They Tell You I Fell
Fast Food (film)
Indrudu Chandrudu
Vaathiyaar Veettu Pillai
Playroom (film)
Jacknife
The Dark Night (film)
Paap Ka Ant
Las Vegas Bloodbath
Red Wood Pigeon
Night Game (film)
Peruvannapurathe Visheshangal
Beyond the Door III
Little but Tough
I Love, You Love
The Phantom of the Opera (1989 film)
Intruder (1989 film)
Shaani
Sweetie (film)
Dotsuitarunen
Stalingrad (1989 film)
Hitcher In The Dark
Season of Fear
National Lampoon's Christmas Vacation
Better Days Ahead (film)
Cyborg (film)
Chinna Chinna Aasaigal
Yuga Purusha
Hard Days, Hard Nights (1989 film)
Split (1989 film)
One Land, Five Nations
Aval Oru Sindhu
Thangamani Rangamani
Venus Peter
Dhruva Nakshatram
Scugnizzi
Lonesome Dove (TV series)
Sandhya Raagam (1989 film)
Pick Pocket (1989 film)
Out of the Dark (1989 film)
Black Rainbow
Muddula Mavayya
The Prisoner of St. Petersburg
Say Anything...
They Came to Rob Hong Kong
Life and Nothing But
Sleepaway Camp III: Teenage Wasteland
The Wolves of Willoughby Chase (film)
Burro (film)
Jaadugar
Tree of Hands
Gawaahi
In the Line of Duty 4: Witness
Parshuramer Kuthar
300 Miles to Heaven
Ginger Ale Afternoon
Bala Gopaludu
The Red Flute
Heavy Petting (1989 film)
1939 (1989 film)
Amanece, que no es poco
Common Threads: Stories from the Quilt
Getting It Right (film)
Sati (film)
Midnight (1989 film)
Pacar Ketinggalan Kereta
Pheka Pheki
The Woman in Black (1989 film)
The Siege of Firebase Gloria
Codename Coq Rouge
Night Visitor
Border Shootout
The Servant (1989 film)
Nagarangalil Chennu Raparkam
A Handful of Time
Renegades (1989 film)
Hardcase and Fist
Muzzy Comes Back
Come Come Come Upward
The Rachel Papers
A Sinful Life
976-EVIL
Drugstore Cowboy
Kahan Hai Kanoon
Codename Cougar
Anantana Avantara
Knick Knack
Adikkurippu
Secret Scandal
Violent Shit
Snake Eater (film)
My 20th Century
Supporting Roles
Love Love Love (1989 film)
Never on Tuesday
Vampire vs Vampire
Simha Swapnam
Disorganized Crime
Stuff Stephanie in the Incinerator
Creature Comforts
Bye Bye Blues (film)
Crime Zone
Annanukku Jai
Abhimanyu (1989 film)
Gola Barood
Afgan (film)
Nasty Boys (film)
Battle of Kosovo (film)
Mircea (film)
Sitting on a Branch, Enjoying Myself
Journey to the Center of the Earth (1989 film)
Varavelpu
Atlantic Rhapsody
Gang of Four (film)
Who Is Chris Rock?
Baxter (film)
Lean on Me (film)
The Sea and the Weather
Crack USA: County Under Siege
Asterix and the Big Fight (film)
Billy the Kid (1989 film)
Stage Fright (1989 film)
River of Death (film)
Crack House (film)
Ivalente Kamuki
Mama, There's A Man in Your Bed
Rhythm Nation (music video)
The Marriage of the Blessed
How I Got into College
El Ausente
3 Akkorde für ein Halleluja
Video Demons Do Psychotown
Stars and Roses
En Thangai (1989 film)
The Belt
Kalpana House
Nyaya Tharasu
Rooftops (film)
True Believer (1989 film)
True Blood (film)
The Wizard (film)
Easy Wheels
Three Fugitives
Farz Ki Jung
Ammaavanu Pattiya Amali
Salut Victor
She's Out of Control
Hoppa högst
One of Us (film)
Farewell to the King
The Value of Ignorance
Hollywood Chaos
Yad Vashem: Preserving the Past to Ensure the Future
Prem Pratigyaa
The Spring
ChaalBaaz
Malayathippennu
Follow Me (film)
God of Gamblers
Dead Bang
Honey, I Shrunk the Kids
Moontrap
Super Chief: The Life and Legacy of Earl Warren
Norman's Awesome Experience
Elephant (1989 film)
Nightbreaker (film)
Riverbend (film)
Najangalude Kochu Doctor
Sachai Ki Taqat
The Runnin' Kind
Hum Bhi Insaan Hain (1989 film)
Heart of Dixie
Mrithasanjeevini
Warlock (1989 film)
Uthama Purushan
The Last Ball in November
Glory! Glory!
Raja Chinna Roja
The Neon Empire
Chameleon Street
Strapless
Naduvazhikal
Lords of the Deep
Pradeshika Varthakal
Halloween 5: The Revenge of Michael Myers
Mouna Poratam
Cold Front (film)
Cold Comfort (film)
Grandmother's House (film)
All About Ah-Long
Boda secreta
Puthiya Karukkal
Nache Nagin Gali Gali
The Shell Seekers (1989 film)
Kinjite: Forbidden Subjects
The Birth of New China
Aamar Tumi
Paraya Ghar
Adultery (1989 film)
Look Who's Talking
Teen Witch
The Wizard of Speed and Time
Dealers (film)
Wait Until Spring, Bandini
Asmaan Se Ooncha
Asha O Bhalobasha
Gleaming the Cube
Empire of Ash III
True Love (1989 film)
Dana Paani
Tokyo: The Last War
Unnikuttanu Joli Kitti
Cat Chaser
En Rathathin Rathame
Parinati
Gentleman (1989 film)
The Fabulous Baker Boys
Proud and Confident
Bangkok Hilton
Bunker Palace Hôtel
Joshilaay
Antharjanam (film)
The Sleazy Uncle
Rugmini
Charles Manson Superstar
La Révolution française (film)
Meet the Feebles
Tere Bina Kya Jeena
Padicha Pulla
Piravi
Je suis le seigneur du château
