Cat Girl
From Hell It Came
Country Hotel
The Secret Place (film)
Bhabhi (1957 film)
No Road Back
This Could Be the Night (film)
Padatha Painkili
Los chiflados del rock and roll
Serenate per 16 bionde
Wild Strawberries (film)
Tizoc (film)
Jailhouse Rock (film)
She Devil (1957 film)
Med glorian på sned
Decision at Sundown
Makkalai Petra Magarasi
The Priest from Kirchfeld (1955 film)
Boyhood Daze
The Seventh Seal
Dragoon Wells Massacre
Seven Waves Away
Veera Kankanam
The Heart Within
Teenage Doll
The Lonely Man
Minnunnathellam Ponnalla
The Pajama Game (film)
Sorority Girl
Category:1957 animated films
Time Limit (film)
Vlčí jáma (film)
At the Terminus
A Lesson in History
Yoru no kamome
Nijūkyū-nin no Kenka-jō
Yangtse Incident: The Story of H.M.S. Amethyst
The Seine Meets Paris
Das einfache Mädchen
Walang Sugat
Istanbul (film)
Thodi Kodallu
Brothers in Law (film)
Category:Lists of 1957 films by country or language
The Undead (film)
Four Boys and a Gun
Reach for the Sky
The Crooked Sky
Pawnee (film)
The Joker Is Wild
The Enemy Below
Birds Anonymous
Baby Face Nelson (film)
Funny Face
The Garment Jungle
The Buster Keaton Story
The Hard Man
Under Fire (1957 film)
Rusty Romeos
Sissi – Fateful Years of an Empress
The Naked Woman and the Gun
This Day's Life
El Hombre Señalado
Designing Woman
The Idle Vassal: House of the Snake Princess
Hell's Crossroads
Hell Bound (1957 film)
Tanz in der Galerie
El Diablo de vacaciones
The Happy Road
Up in Smoke (1957 film)
The Hunters (1957 film)
Neelamalai Thirudan
Der Fackelträger
Arrivano i dollari!
Premada Putri
Shake, Rattle & Rock! (1956 film)
Washi to Taka
The Astounding She-Monster
Night of the Demon
Deva Sundari
Fjols til fjells
On Foot, on Horse, and on Wheels
Manuela (1957 film)
The True Story of Jesse James
The Lower Depths (1957 film)
The Wayward Bus (film)
The Devil Strikes at Night
Hoofs and Goofs
Hellcats of the Navy
1918 (film)
The House of the Angel
Loving You (1957 film)
Ninkyō Shimizu-minato
The Depraved (1957 film)
Mayerling (1957 film)
Lapland Calendar
The Beauty of Binh Duong
Motorcycle Gang (film)
True as a Turtle
Windom's Way
Mogok (film)
Jungle Heat
Love Slaves of the Amazons
No Sun in Venice
The Singing Ringing Tree
Mischief in Wonderland
The Giant Claw
Aaravalli
The Girl in the Picture (1957 film)
Alfonsina
Man on the Prowl (film)
The Midnight Story
Final Curtain (film)
El gran premio
The 27th Day
Mazurka der Liebe
Hell Drivers (film)
The Three Faces of Eve
Kronos (film)
Priests Ćira and Spira
Almenrausch und Edelweiß
The Delicate Delinquent
The Lawless Eighties
The Prince and the Showgirl
Man Who Causes a Storm
Bailout at 43,000
Venga a bailar el rock
Zombies of Mora Tau
Journey Beyond Three Seas
Albert Schweitzer (film)
Love in the Afternoon (1957 film)
Sand, Love and Salt
Steal Wool
God Is My Partner
No Down Payment
The Deadly Mantis
Nights of Cabiria
Poveri ma belli
Tip on a Dead Jockey
After the Ball (1957 film)
Ab Dilli Dur Nahin
Onibi Kago
The Incredible Petrified World
Plunder Road
A Rainbow Plays in My Heart
Neelmani
Operation Mad Ball
You Pay Your Money
Rock All Night
The Bridge on the River Kwai
The Winemaker of Langenlois
The Golden Age of Comedy
High Tide at Noon
Sheriff Teddy
The Adventures of Arsène Lupin
September Nights
Jet Pilot (film)
The Halliday Brand
Man on the Tracks
The Power Makers
Schůzka o půl čtvrté
Gejagt bis zum Morgen
Ten Thousand Bedrooms
The Vintage
Gates of Paris (film)
Lure of the Swamp
The Amazing Colossal Man
Rozbijemy zabawę
Naked Africa
Pirate of the Half Moon
The Tarnished Angels
Shori-sha
Stopover Tokyo
Pablo and Carolina
Twilight Train
8 × 8: A Chess Sonata in 8 Movements
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent
Pudhaiyal
12 Angry Men (1957 film)
The Rice People
Rockets Galore!
Escapade in Japan
Monster from Green Hell
Miles of Fire
Interpol (1957 film)
Jailppulli
