Partition (1987 film)
North Shore (film)
The Search for Animal Chin
Diary of King Yeonsan (film)
Cold Steel (1987 film)
Kraljeva završnica
Portrét krále komiků
Three O'Clock High
Wicked City (1987 film)
'38 – Vienna Before the Fall
Sammy and Rosie Get Laid
Tough Guys Don't Dance (film)
In the Shadow of the Wind
Pushpaka Vimana (film)
Mr. Jolly Lives Next Door
Curse of the Queerwolf
Kamagni
De regreso
The Cyclist
Three for the Road
The Big Easy (film)
Distant Lights (1987 film)
Itihaas (1987 film)
Ponnu
How Rare a Possession
The Man in the Black Cape
Innerspace
Echoes of Paradise
Under the Sun of Satan (film)
The Jester and the Queen
Slaughterhouse (film)
Digvijaya
Shake! Otis at Monterey
The Tale of Ruby Rose
Tragic Hero (film)
Running from the Guns
LBJ: The Early Years
Mistress (1987 film)
Funland (film)
Bhanumati Gari Mogudu
Malone (film)
The Return of Bruno
Moon in Scorpio
Evil Town
The Ten-Year Lunch
Uuno Turhapuro – kaksoisagentti
Kalle Stropp och Grodan Boll räddar Hönan
Bhargava Ramudu
Pierre and Djemila
Thirumathi Oru Vegumathi
Hot Pursuit (1987 film)
Adimakal Udamakal
Million Dollar Mystery
Anne of Avonlea (1987 film)
Besame Mucho (film)
Insaf Ki Pukar
Veeran Veluthambi
Street Trash
The Pick-up Artist (film)
Big Shots (film)
Freckled Max and the Spooks
Thunder Prince
The Lonely Voice of Man
Treasure of the Moon Goddess
I Don't Understand You Anymore
Graveyard Shift (1987 film)
The Dream (1987 film)
Foxfire (1987 film)
On the Silver Globe (film)
Hangmen (film)
Salvation! (1987 film)
Rumpelstiltskin (1987 film)
City on Fire (1987 film)
Tora-san Plays Daddy
Poker Alice (film)
Interzone (film)
Kathakku Pinnil
Etter Rubicon
En el nombre del hijo
Aranyakanda
Yeelen
Da grande (film)
The Adventures of Lolo the Penguin
Down Twisted
Straight to Hell (film)
The Felons
Daniel and the Towers
Aattakatha (1987 film)
Mirch Masala
P.C. 369
Stage Fright (1987 film)
Revenge of the Nerds II: Nerds in Paradise
Prick Up Your Ears
Premaloka
Varshangal Poyathariyathe
Gramatthu Minnal
Valayal Satham
Debajo del mundo
Aenigma (film)
Doom Asylum
Criminally Insane 2
Mankillers
Jayasimha (1987 film)
Boy, Girl
Hollywood Shuffle
Throw Momma from the Train
Nirabhedhangal
My First Forty Years
Dak Bangla
Muvva Gopaludu
Steele Justice
Deathstalker II
Jaathi Pookkal
Irupatham Noottandu
Walk Like a Man (1987 film)
Moti Sher
Too Outrageous!
Nice Girls Don't Explode
Manathil Uruthi Vendum
The Year My Voice Broke
Mahuliena, Golden Maiden
Elu Suttina Kote
Vincent (1987 film)
The Blind Owl (film)
Oru Sindoora Pottinte Ormakku
The Pink Chiquitas
Saint Seiya: The Movie
Sworn Brothers
Babette's Feast
Rachel River
The Dead (1987 film)
Theertham (film)
The Video Dead
Collector Gari Abbai
Aida (1987 film)
Hip Hip Hurrah! (film)
Tanga (film)
Sarvakalashala
Manasa Maine Varu
Dobří holubi se vracejí
Sahasa Samrat
Botë e padukshme
The Falling
Penitentiary III
Jenatsch (film)
Investigation Held by Kolobki
Wedding in Galilee
Tin Men
No Retreat, No Surrender 2
Achuvettante Veedu
Barbie and the Rockers: Out of this World
Aankiliyude Tharattu
Michael Raj
Pyaar Karke Dekho
Marte Dam Tak
Superstar: The Karen Carpenter Story
Wall Street (1987 film)
Course Completed
Uppu
Hrudaya Pallavi
Agent trouble
Jonathan of the Night
Beach Fever (1987 film)
Aval Mella Sirithal
Velundu Vinaiyillai
Ee Bandha Anubandha
The Running Man (1987 film)
Morgan Stewart's Coming Home
Hellraiser
Shri Kanakamalaxmi Recording Dance Troupe
Ondu Muttina Kathe
Suspect (1987 film)
Loha (1987 film)
End of the Line (1987 film)
Nuts (film)
Spaceballs
The Dirty Dozen: The Deadly Mission
Oktoberfest (film)
Nombarathi Poovu
Princess Fragrance (film)
Ubu et la Grande Gidouille
Poovizhi Vasalile
Steel Dawn
High Tide (1987 film)
Haikara-san ga Tōru
Strike Commando
Ivargal Varungala Thoongal
Hollywood-Monster
Parisam Pottachu
Shy People
Chilambu
Badiaga
Hiding Out
Private Affairs (1987 film)
Andha Yudh
Lady Beware
Sowbhagya Lakshmi
Some Kind of Wonderful (film)
Mannequin (1987 film)
No Way Out (1987 film)
Matewan
Amar Sangi
Enemy Territory (film)
Someone to Love (film)
Ironweed (film)
To Market To Market (film)
Sukeban Deka The Movie
The Charles Bukowski Tapes
A Nightmare on Elm Street 3: Dream Warriors
Kızımın Kanı
El Lute: Run for Your Life
Maschenka
They Call Me Renegade
My Best Friend Is a Vampire
Il commissario Lo Gatto
The Umbrella Woman
P.I. Private Investigations
Piya rakhiah senurwa ke laaj
Spalding Gray: Terrors of Pleasure
Dorf on Golf
A Return to Salem's Lot
Beverly Hills Cop II
Ajantha (1987 film)
Caribe (film)
Nightstick (film)
Category:1987 horror films
Ureme 2
Vado a riprendermi il gatto
Valet Girls
Hungry Heart (film)
Opera (film)
Evil Dead II
Seito Shokun!
Critical Condition (film)
Osmanthus Alley
Ultimo minuto
Together Forever (1987 film)
Who's That Soldier?
Wanted: Dead or Alive (1987 film)
Idanazhiyil Oru Kaalocha
Param Dharam
Mera Lahoo
Five Corners (film)
The Bell of Chernobyl
Eddie Murphy Raw
Ngati
Veerapandiyan
Klassiki periptosi vlavis
Cyclone (1987 film)
Devils of Monza
Aha Naa Pellanta (1987 film)
House of Games
The Kitchen Toto
Frances Steloff: Memoirs of a Bookseller
Manja Manthrangal
The Strangeness of Life
Video Violence
Jaithra Yaathra
Kadhal Parisu
The Gate (1987 film)
Pinocchio and the Emperor of the Night
Kiss Daddy Goodnight
Teen Wolf Too
Adventures in Babysitting
The Blind Watchmaker (film)
The Surrogate Woman
Killing Spree
Thoovanathumbikal
Number One with a Bullet (film)
The Worst of Faces of Death
Johny Tolengo, el majestuoso
48 Hours of Hallucinatory Sex
Striker (1987 film)
The Garbage Pail Kids Movie
Eien no 1/2
Crystal Triangle
Leif (film)
Sukumar Ray (film)
Wild Thing (film)
Hamburger Hill
Ramu (1987 film)
Muqaddar Ka Faisla
Unsettled Land
Vamban
Agni Muhurtham
Slate, Wyn & Me
Cross My Heart (1987 film)
My True Love, My Wound
Maid to Order
Loyalties (1987 film)
Evargal Indiyargal
Majaal
Geometria (film)
Tropic of Ice
Eat the Rich (film)
The Virgin Queen of St. Francis High
Winners Take All (film)
Mohre
Category:Lists of 1987 films by country or language
Psychos in Love
Hero of the Year (film)
Gia mia houfta touvla
My Best Friend's Birthday
Apne Apne
Heaven (1987 film)
The Cruel Embrace
Kaalam Maari Kadha Maari
Mard Ki Zabaan
Train of Dreams
Eastern Condors
Inaam Dus Hazaar
Dudes (film)
The Hero's Journey (film)
Brahma Nayudu
Dark Eyes (film)
Rita, Sue and Bob Too
Beaks: The Movie
Positive I.D.
Good Morning, Vietnam
Mit Jayenge Mitane Wale
Amme Bhagavathi
The Edge of Power
Mr. Vampire III
Coda (film)
Neo Tokyo (film)
Jane and the Lost City
The Princess Bride (film)
Shankar Guru (1987 film)
From the Hip (film)
Sankeertana
Planes, Trains and Automobiles
Association of Wrongdoers
Made in Argentina
Aradhana (1987 film)
Extreme Prejudice (film)
Leonard Part 6
Creepozoids
Russkies
Cobra Verde
Dolly, Lotte and Maria
Four Adventures of Reinette and Mirabelle
Gor (film)
Gardens of Stone
Accroche-coeur
The Secret of My Success (1987 film)
The Emperor's Naked Army Marches On
Jalwa
Olavina Udugore
Cannibal Hookers
Makkal En Pakkam
Potato (film)
Soldati - 365 all'alba
Apartment Eight
Uzhavan Magan
Ellaavarkkum Nanmakal
More About the Children of Noisy Village
Four Plus Four
Besahara
Onnaam Maanam Poomaanam
Neela Kurinji Poothappol
Moonzund (film)
Kavalan Avan Kovalan
Story of a Junkie
Raja Mariyadhai
Babilonia
The Amazing Mr. Bickford
Halodhia Choraye Baodhan Khai
An Autumn's Tale
Jeevana Jyothi (1987 film)
Terminus (1987 film)
Italian Night
Enga Chinna Rasa
Body Count (1987 film)
Munchies (film)
G.I. Joe: The Movie
Hearts of Fire
Awam (film)
Farewell Moscow
Hifazat (1987 film)
Beauty and the Beast (1987 film)
Swimming to Cambodia
Neeyethra Dhanya
Insaaf (1987 film)
Wish You Were Here (1987 film)
Demon of Paradise
Amrutham Gamaya
Long Walk to Forever (film)
Albela (1987 film)
De que estamos hechos
Dancers (film)
The Aggression
Manasa Veene
Ijaazat
Made in U.S.A. (1987 film)
Light of Day
Souvenir (1989 film)
The Man with Three Coffins
The Great Land of Small
Sofia (film)
The Steamboat Adventures of Riverboat Bill
Sign o' the Times (film)
The Gold Rimmed Glasses
Dead of Winter
Daughter of the Nile
Kalyug Aur Ramayan
Enga Ooru Pattukaran
Officer with a Rose
Kottum Kuravayum
Empire State (1987 film)
Cooliekkaran
Au revoir les enfants
Can't Buy Me Love (film)
The Allnighter (film)
Deadly Prey
Roxanne (film)
Pretty Smart
Shruthi Seridaaga
Party Camp
Ezhuthapurangal
Flowers in the Attic (1987 film)
Bride of Boogedy
Nagabonar
Dead Ringers: The Making of Touch of Grey
Insaniyat Ke Dushman
Buy & Cell
A Taxing Woman
Infidelity (film)
Silsila (1987 film)
Firehouse (1987 film)
Coast to Coast (1987 film)
Magnificent Warriors
The Whales of August
Sisterly Love
Epidemic (film)
Dear America: Letters Home from Vietnam
Les Patterson Saves the World
Gammat Jammat
Terror Squad (film)
Rithubhedam
Nowhere to Hide (1987 film)
P.K. and the Kid
Touch (manga)
Chōchin (film)
Stakeout (1987 film)
Slave Girls from Beyond Infinity
The Kindred (film)
Twilight of the Cockroaches
Kaun Jeeta Kaun Haara
Snow White (1987 film)
Benji the Hunted
Huli Hebbuli
Los Colimbas al ataque
Hector (1987 film)
Running Out of Luck
Saturday Night at the Palace
Dolls (1987 film)
Los Bañeros más locos del mundo
A Man in Love (1987 film)
Less Than Zero (film)
Splatter Farm
Summer with Extra Month
A Tiger's Tale
Tabarana Kathe
Assa (film)
Anguish (1987 film)
La vallée fantôme
Blind Date (1987 film)
Kavithai Paada Neramillai
Sweet Country
Category:1987 animated films
Sirai Paravai
Testimony (1988 film)
Miami Connection
Border Radio
Athinumappuram
Nekromantik
Selamsız Bandosu
Cross (1987 film)
Nalkkavala
Yeh Woh Manzil To Nahin
Family Viewing
Creepshow 2
In the Mood (film)
Baby Boom (film)
Deewana Tere Naam Ka
Amazon Women on the Moon
White of the Eye (film)
Terminal Exposure
Dot Goes to Hollywood
Samsaram Oka Chadarangam
Ray's Male Heterosexual Dance Hall
Itha Samayamayi
The Untouchables (film)
Thambathyam
Tango Bar
The Big Town (1987 film)
Chinna Poove Mella Pesu
Kirai Dada
Barbie and The Sensations: Rockin' Back to Earth
The Lighthorsemen (film)
Avasthe
The Ice Palace (1987 film)
Prison on Fire
Oru Thayin Sabhatham
Zombie High
Krishnan Vandhaan
I Don't Give a Damn
Thikana (film)
Dil Tujhko Diya
Nineteen (film)
Gundamma Gari Krishnulu
Blood Rage
Havinck
Neeyallengil Njan
Reflections (1987 film)
Le Solitaire (film)
It's a Mad, Mad, Mad World
Terror Night
Nayakan (1987 film)
The Hanoi Hilton (film)
The Care Bears Adventure in Wonderland
Forgotten Melody for a Flute
Three Bewildered People in the Night
The Order of the Black Eagle (film)
The Harms Case
Los Corruptores
Silent Night, Deadly Night Part 2
Hamlet Goes Business
Sattam Oru Vilayaattu
Going Sane
The Wind in the Willows (1987 film)
Blonde Dolly (film)
Life Is Most Important
Molecules Of Motion
Iron Warrior
Hunk (film)
The Jetsons Meet the Flintstones
Personal Services
Anbulla Appa
Kaash
The Rosary Murders
Disorderlies
Happy New Year (1987 film)
Hachiko Monogatari
Aalippazhangal
Diljalaa
Spiritual Love (film)
Little Dorrit (film)
Live 1986
Himmat Aur Mehanat
The Bedroom Window
Days to Remember
The Red Spectacles
House II: The Second Story
Boyfriends and Girlfriends
Masters of the Universe (film)
Manithan (1987 film)
Ureme 3
Neethikku Thandanai
Amazing Grace and Chuck
Striker's Mountain
Summer Camp Nightmare
Escápate Conmigo
Ishtar (film)
Shinran: Path to Purity
Cherry 2000
Morning Patrol
Born in East L.A. (film)
Adada
Stockholmsnatt
Heart (1987 film)
Dadagiri (film)
Sleeping Beauty (1987 film)
Housekeeping (film)
Big Guns (1987 film)
The Music Teacher
Strange Voices
8 Man
Chakravarthy (1987 film)
Attention bandits!
Lethal Weapon
Prince of Darkness (film)
Wartime (Doctor Who)
Tigershark (film)
Back to the Beach
Beyond Therapy (film)
Young at Heart (1987 film)
Vazhiyorakazchakal
Plumbum, or The Dangerous Game
Mujer - Mujer
Scared Stiff (1987 film)
Kudumbam Oru Koyil
Kangaroo (1987 film)
Language Says It All
Shanthi Nivasa
My Demon Lover
El embajador de la India
Bu Su
Deadline (1987 film)
Death Nurse
Venner for altid
Intervista
Blood Diner
Lionheart (1987 film)
The Dante Quartet
Naalkavala
Oru Sindoora Pottinte Ormaykku
Illam (film)
January Oru Orma
The Miracle (1987 film)
Three Men and a Baby
Satyamev Jayate (film)
Sure Death 4: Revenge
Blindside (film)
Forever, Lulu (1987 film)
Evil Cat
Shrutilayalu
Who Killed Vincent Chin?
A Broad Bellflower
Harry and the Hendersons
A Month in the Country (film)
Prison (1987 film)
Hukumat
Aids (film)
Taxi Nach Kairo
The Gnomes' Great Adventure
Jungle Boy (1987 film)
Body Slam (film)
Barfly (film)
Bharatamlo Arjunudu
Comedy!
Masks (1987 film)
Summer Heat (1987 film)
Chorros
Night Journey (film)
White Whales (film)
Japon İşi
The Snow Queen (1986 film)
Capriccio (1987 film)
Dance Raja Dance
Thaniyavarthanam
Forever Evil (film)
The Fourth Protocol (film)
Las Esclavas
La jaula de oro (1987 film)
Campus Man
Australian Made: The Movie
Club de rencontres
Love, Mother
The Underachievers (film)
Milan noir
