The Magic Weaver
Uncle Was a Vampire
Operation Amsterdam
Carlton-Browne of the F.O.
The Death Ship (1959 film)
The Sad Horse
Hare-Abian Nights
A Summer Place (film)
Astero
Watusi (film)
Go, Johnny, Go!
Hanayome-san wa sekai-ichi
Of Course, the Motorists
An Old Love
Attack of the Giant Leeches
Return of the Fly
Cry of Jazz
Les Cousins (film)
Die Premiere fällt aus
Deep Jwele Jaai
Nel blu dipinto di blu (film)
Maragatham
Bonanza Bunny
The Tinder Box (film)
Manimekalai (1959 film)
The Bat (1959 film)
La sangre y la semilla
Goliath and the Barbarians
Jagajyothi Basveshwara
The Night Before the Premiere
The 39 Steps (1959 film)
Chhoti Bahen
The Mating Game (film)
Ana Horra
El proceso de las señoritas Vivanco
Diego Corrientes (1959 film)
The Man Who Could Cheat Death
The Giant Gila Monster
Date at Midnight
Il padrone delle ferriere
Campo arado
Wild Cats on the Beach
The Forests Sing Forever
A Stranger in My Arms
Yo... el aventurero
Forever Yours (1959 film)
A Dangerous Age
The Soldiers of Pancho Villa
Ferry to Hong Kong
La Fièvre Monte à El Pao
Noi siamo due evasi
Virgin Island (1959 film)
Upstairs and Downstairs
Imitation of Life (1959 film)
A Bucket of Blood
Cerro Guanaco
1001 Arabian Nights (1959 film)
Anneaux d'or
Esterina
The Punch Bowl (1959 film)
Bus Conductor (1959 film)
The Boy Who Owned a Melephant
Five Golden Flowers
Inside the Mafia
El hombre de alazán
The Rough and the Smooth
Athisaya Penn
The Best of Everything (film)
The Trap (1959 film)
The Crimson Kimono
John Paul Jones (film)
Libel (film)
Jazz on a Summer's Day
For the First Time (1959 film)
A Far Cry (1959 film)
Aval Yaar
Maa (1959 film)
Cow on the Moon
Room at the Top (1959 film)
Sampo (film)
Mikosch of the Secret Service
A Qualcuna Piace Calvo
Les Liaisons dangereuses (film)
Peter Voss, Hero of the Day
Career (1959 film)
Strictly Confidential (film)
SAS 181 Does Not Reply
Piece of the Sky
Battle in Outer Space
Claudia (film)
