Karuththamma
Veeramani (film)
The Desperate Trail
Eden Valley (film)
Shaolin Popey
Coming to Terms with the Dead
Monkey Trouble
PCU (film)
Kachehri
Without Compassion
Ilaignar Ani
Woh Chokri
Children of Jerusalem: Yehuda
H.P. Lovecraft's: Necronomicon
Manasu Rendum Pudhusu
Duet (1994 film)
A Good Man in Africa
Hercules and the Lost Kingdom
Ashes of Time
Gandheevam
The Next Karate Kid
The New Age (film)
I Love a Man in Uniform (film)
The Tit and the Moon
Getting Gotti
The Hudsucker Proxy
Double Happiness (film)
Odahuttidavaru
I Like It Like That (film)
Bread and Roses (1993 film)
Jason's Lyric
Bad Boy Bubby
The Voyeur (1994 film)
The Goddess Bunny
Barnabo of the Mountains
Ti Oluwa Ni Ile
Rakhwale
Oblivion (1994 film)
Varaphalam
Mute Witness
Udhaar Ki Zindagi
Vijaypath
The Favor
Dilbar (1994 film)
Govinda Govinda
Sher Punjab Da
Todo es mentira
Vive L'Amour
Eclipse (1994 film)
House of Angels – The Second Summer
Pavam I. A. Ivachan
Fat Chance (film)
Gangmaster (film)
47 Ronin (1994 film)
Pom Poko
White Angel (1994 film)
Nattamai
Rock N'Roll Cop
At Ground Zero
Direct Hit (film)
Imtihaan
Yengeç Sepeti
Bullets over Broadway
Whore II
The Bodyguard from Beijing
The Butterfly Lifts the Cat Up
Puppet Master III: Toulon's Revenge
The Private Eye Blues
The Cinder Path
Ailsa (film)
Mammo
Amanaat
Playing with Good Children
The Believers: Stories from Jewish Havana
Haiti: Harvest of Hope
Hail the Judge
Speechless (1994 film)
CyberTracker (film)
Camilla (1994 film)
3 Chains o' Gold
Sleeping with Strangers
It Could Happen to You (film)
Romeo and Juliet in Sarajevo
Raw Justice
Strawberry and Chocolate
Healer (film)
Woyzeck (1994 film)
Puthran
How the West Was Fun
Only You (1994 film)
Because Mommy Works
Leprechaun 2
The Sum of Us (film)
Sh'Chur
Everynight ... Everynight
Wild Style Original Soundtrack
English, August (film)
It's a Wonderful Life (1994 film)
Chauraha
Oh! My Three Guys
Rajakumaran (film)
Shake, Rattle & Roll VI
Tahqiqaat
I Have a Date with Spring
Cheetah (1994 film)
Shrunken Heads (film)
Rasa Magan
Oldest Living Confederate Widow Tells All (film)
Jai Hind (film)
Ancient Chinese Whorehouse
Žiletky
The Chase (1994 film)
Nobody's Fool (1994 film)
Chhoti Bahoo
In the Name of the Father (film)
Eena Meena Deeka
Above the Rim
Aatish: Feel the Fire
Chicken Hawk: Men Who Love Boys
Laqshya
Ernest Goes to School
Thamarai (film)
My Father the Hero (1994 film)
Creatures from the Abyss
Crackerjack (1994 film)
Cops & Robbersons
Shake, Rattle & Roll V
A Pin for the Butterfly
The Fox with Nine Tails
Bhale Pellam
The Crow (1994 film)
Aa Gale Lag Jaa (1994 film)
C'est la vie, mon chéri
Napoleon (1994 film)
Nasibo
The Scout (film)
Once Upon a Time in China V
Ride Me (film)
Somebody to Love (film)
Trancers 5: Sudden Deth
Yaar Gaddar
Serial Mom
The War (1994 film)
Seevalaperi Pandi
Wes Craven's New Nightmare
Foreign Student
Gamanam
Signal One (film)
I'm Mad
Pumpkinhead II: Blood Wings
The Black Mountain (film)
Interview with the Vampire (film)
Jaguar (1994 film)
Dollar (1994 film)
Nastasja
Kickboxer 4
Junior (1994 film)
Aranyaka (film)
Princess Caraboo (film)
F.T.W. (film)
Bobbili Simham
A Business Affair
The Wooden Man's Bride
Trevor (film)
Zamane Se Kya Darna
Confessions of a Sorority Girl
Stuntman (film)
Teenage Exorcist
Foetus (film)
The Sleep of the Island
Bad Girls (1994 film)
Il branco
Hong Kong 97 (film)
A.P.E.X.
Janta Ki Adalat (1994 film)
World and Time Enough
The Three Swordsmen
In Search of Dr. Seuss
Spare Me (film)
Twin Sitters
Yogi the Easter Bear
Squanto: A Warrior's Tale
Sakthivel
Kranti Kshetra
Sibak: Midnight Dancers
Ni na nebu ni na zemlji
Category:Lists of 1994 films by country or language
Veera Padhakkam
At Risk
The Shadow of Hate
Object of Obsession
Shatter Dead
Samurai Shodown: The Motion Picture
The Violin Player (film)
Honey, I Shrunk the Audience!
Enthusiasms
Nadja (film)
Red Firecracker, Green Firecracker
Half-Cocked (film)
The Act in Question
Mutthanna
Teresa's Tattoo
Avalude Janmam
Being Human (1994 film)
How to Top My Wife
Once a Year, Every Year
Janata Ki Adalat
Paramaatma (1994 film)
Brahma (1994 film)
The Yearling (1994 film)
The Stoned Age
Star Trek Generations
Aag (1994 film)
Gopalaa
Angie (1994 film)
The Girlie Show: Live Down Under
Watchers 3
Dias contados
Intersection (1994 film)
Leningrad Cowboys Meet Moses
Forrest Gump
Nishkarsha
Stargate (film)
The Santa Clause
Red Rose White Rose
The Passion of John Ruskin
Willie's War
The Heart's Cry
Surviving the Game
The Turkish Passion
Le Péril jeune
Highlander III: The Sorcerer
The Secret of Roan Inish
China Moon
Watchman Vadivel
Backbeat (film)
Andaz (1994 film)
Bloodfist V: Human Target
Fleshtone
À la folie
Ghost Pub
Femmes aux yeux ouverts
Getting In
The Silences of the Palace
Wyatt Earp: Return to Tombstone
The Mask (film)
D2: The Mighty Ducks
Death Wish V: The Face of Death
Paasamalargal
Du Pappa
Abhay (The Fearless)
Override (film)
Shubhalagnam
Aapo (film)
Kudumba Vishesham
The Dream of Garuda
La Reine Margot (1994 film)
Revenge of the Red Baron
Symptomology of a Rock Band: The Case of Crash Test Dummies
Pocket Ninjas
Full Cycle: A World Odyssey
On Deadly Ground
Dallas Doll
Sammohanam
Yarigu Helbedi
Floundering
Love Affair (1994 film)
Sailor Moon S: The Movie
Midnight Man (1995 film)
Charlie & Louise – Das doppelte Lottchen
Mohra
Jai Kishen
Party (1994 film)
Pavithra
1942: A Love Story
The Patriots (film)
Sammilana
Quand j'avais cinq ans je m'ai tué
Moment of Truth: A Mother's Deception
Sraadham
7000 días juntos
The Search for One-eye Jimmy
A Soul Haunted by Painting
The Little Rascals (film)
Teerpu
Jaana (film)
Wagons East!
T-Force (film)
Gandugali
That's Entertainment! III
Heads (film)
Dragonworld
Ace Ventura: Pet Detective
Les Braqueuses
With Honors (film)
En Rajangam
Palnati Pourusham
Godzilla vs. SpaceGodzilla
Jailbreakers
Louis 19, King of the Airwaves
You So Crazy
Timecop
Undefeatable
Mani Madhava Chakyar: The Master at Work (film)
Megamol
00 Schneider – Jagd auf Nihil Baxter
Love and a .45
Widows' Peak
Pulp Fiction
Scooby-Doo! in Arabian Nights
CID Unnikrishnan B.A., B.Ed.
Mary (1994 film)
Jallikattu Kaalai
Midnight Ramble (film)
Senthamizh Selvan
No Contest (film)
Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid
Woman of Desire
Yrrol
Lightning Jack
The Return of Jafar
Parinayam (1994 film)
Back to Roots
Double Dragon (film)
Boulevard (1994 film)
Maalaala Mo Kaya
Rapa-Nui (film)
Ghar Ki Izzat (1994 film)
A Taste of Killing and Romance
French Silk (film)
Camp Nowhere
He's a Woman, She's a Man
Mary Shelley's Frankenstein (film)
Tom & Viv
Tarzan of Manisa
Miracolo italiano
Fist of Legend
Amigomío
Baali Umar Ko Salaam
Firewater (film)
A Shadow You Soon Will Be
Nammavar
Manathe Vellitheru
Glitterbug (film)
The Swan Princess
Clerks
Barcelona (film)
Memory of Water (film)
The City (1994 film)
Out of Darkness
Four Weddings and a Funeral
Der bewegte Mann
Madame Aema 10
Fresh (1994 film)
Sangdil Sanam
Three Colors: Red
A Low Down Dirty Shame
To Kill a Dead Man
Imperfect Journey
Le Radeau de la Méduse (film)
Project Shadowchaser II
An Unforgettable Summer
Dark Waters (1994 film)
Radio Inside
Dhadha
Cold Water (film)
Vaade Iraade
La Yorona
Faust (1994 film)
The Monk and the Fish
Mrs. Parker and the Vicious Circle
Le Petit Cirque et autres contes
Take Me Away (film)
Anth
Immortal Combat
Mario and the Magician (film)
Stanley's Dragon
World War II: When Lions Roared
Talk (film)
Martha & Ethel
Khuddar
Death and the Maiden (film)
To Live and Die in Tsimshatsui
Tombés du ciel
Captain (1994 film)
Love Burns
Ed Wood (film)
Birth of a Community: Jews and the Gold Rush
A Time for Justice
Tora-san's Easy Advice
The Birds II: Land's End
Official Denial
Belle al Bar
Min Fynske Barndom
Crooklyn
Suite 16 (film)
Stockholm Marathon (film)
Lost in Africa
Teesra Kaun
Beverly Hills Cop III
Don't Get Me Started (1994 film)
Exotica (film)
The Madness of King George
Bryllupsfotografen
Reality Bites
Njan Kodiswaran
The Specialist
Golden Gate (film)
Even Cowgirls Get the Blues (film)
Amelia Earhart: The Final Flight
La Vie sexuelle des Belges 1950-1978
Prince of Jutland
The Eternal Empire
Only the Brave (film)
Vanya on 42nd Street
Disclosure (film)
Pigalle (film)
The Rainbow Thief
Beretta's Island
Country Life (film)
Lisbon Story (1994 film)
Maha Shaktishaali
Mother's Boys
A Caixa
Blown Away (1994 film)
The Cloud Door
The Adventures of Priscilla, Queen of the Desert
In the Heat of the Sun
Airheads
Cross My Heart and Hope to Die (film)
Chinna Madam
Kill the Moonlight (film)
Pudhiya Mannargal
Just Friends (1993 film)
Forever (1994 film)
1000 Roses
The Final Option (1994 film)
Guarding Tess
Ober Da Bakod
Something Fishy (film)
Hellbound (film)
Category:1994 animated films
Aguner Poroshmoni
Bottle Rocket
Sparkling Fox
Federal Hill (film)
The Naked Gun
Roswell (film)
Dumb and Dumber
Sudhinam
Doomsday Gun
Final Combination
Circus Kid
Next Door (1994 film)
Relative Fear
Maindhan
Chaand Kaa Tukdaa
The Trace (film)
Bikinisesongen
Crest of Betrayal
Ladoni
Chinna (1994 film)
S.F.W.
Priyanka (1994 film)
The Taebaek Mountains
Wild Reeds
Imaginary Crimes
Mukta (1994 film)
Dakshina (film)
Pidakkozhi Koovunna Noottandu
Puppet Master 5: The Final Chapter
Octobre
Andaz Apna Apna
Namma Annachi
Open Fire (British film)
Car 54, Where Are You? (film)
Deadly Advice
Blues Highway (film)
Gopi Kishan
Accumulator 1
Prem Yog
Amnesia (1994 film)
Nell (film)
Seaview Nights
Fauj
Black Sun: The Nanking Massacre
My Girl 2
Oh God, Women Are So Loving
Witch Hunt (1994 film)
With Closed Eyes
Guerriers et captives
The Roly Poly Man
Drunken Master III
Fun (film)
The Client (1994 film)
Freefall (1994 film)
Relics: Einstein's Brain
Jimmy Hollywood
Bhairava Dweepam
Love on Delivery
Crumb (film)
Criminal (1995 film)
Nightwatch (1994 film)
Hostage for a Day
Miracle on 34th Street (1994 film)
The Quality of Mercy (film)
Pehla Pehla Pyar
Gunmen (1994 film)
Rough Diamonds (film)
Revenge of the Musketeers
Aranmanai Kaavalan
The St. Tammany Miracle
Little Giants
The Cowboy Way (film)
Ayọ Ni Mọ Fẹ
Against the Wall (1994 film)
The Silence of the Hams
Blood Ties: The Life and Work of Sally Mann
Pentathlon (film)
Return of the Boogeyman
Mermaid Got Married
Barney Live in New York City
Super 8½
Kiladigalu
