Akrobatisches Potpourri
Rough Sea at Dover
Opening of the Kiel Canal
Démolition d'un mur
Performing Animals; or, Skipping Dogs
Repas de bébé
Serpentinen Tanz
La Charcuterie mécanique
The Dickson Experimental Sound Film
The Execution of Mary Stuart
The Derby (1895 film)
The Arrest of a Pickpocket
L'Arroseur Arrosé
Le Saut à la couverture
Barque sortant du port
La Pêche aux poissons rouges
L'Arrivée d'un train en gare de La Ciotat
La Voltige
Les Forgerons
Annabelle Serpentine Dance
The Oxford and Cambridge University Boat Race (film)
Partie de cartes
Bauerntanz zweier Kinder
Place des Cordeliers à Lyon
Crude Set Drama
Auguste and Louis Lumière
Boxing Kangaroo (film)
La Mer (film)
Workers Leaving the Lumière Factory
The Photographical Congress Arrives in Lyon
Footpads
