The Spender
Fate (1913 film)
Loved by a Maori Chieftess
The Gaieties of the Squadron
A Misappropriated Turkey
A Blue Gum Romance
The Proof of the Man
A Bandit
Poor Jake's Demise
Calamity Anne's Beauty
The Cheese Special
The Clue of the Lost Handkerchief
Falešný hráč
Macbeth (1913 film)
The Werewolf (1913 film)
The Film Primadonna
A Timely Interception
An Elephant on His Hands
Traffic in Souls
David Garrick (1913 film)
Raja Harishchandra
The Idol of Bonanza Camp
The Heart of a Fool
The Stolen Loaf
Americký souboj
King Charles (film)
His Athletic Wife
The Two Sergeants (1913 film)
The Vicar of Wakefield (1913 film)
Fatty Joins the Force
The Living Ladder
A Gamble with Death
Moondyne
Just Gold
Sixty Years a Queen
Article 47, L'
The Mothering Heart
Some Fools There Were
The Adventures of Anton
The Conscience of Hassan Bey
The Pursuit of the Smugglers
Antony and Cleopatra (1913 film)
One Hundred Years of Mormonism
Help! Help! Hydrophobia!
Krates
In the Power of the Hypnotist
Barney Oldfield's Race for a Life
The Wives of Jamestown
For the Love of Mabel
The Evidence of the Film
The Shadow of Nazareth
Leah Kleschna
East Lynne (1913 film)
Back to Life (film)
Pierrot the Prodigal
Pommy Arrives in Australia
The Life of a Jackeroo
Bunny as a Reporter
Hulda of Holland
The Left-Handed Man
The Scimitar of the Prophet
The Mirror (1913 film)
A Gambler's Honor
Indian Vampire
The Flirt and the Bandit
The Last Days of Pompeii (1913 film)
For the Peace of Bear Valley
All for Science
Dr. Jekyll and Mr. Hyde (1913 film)
The Five Cents of Lavarede (1913 film)
The Ways of Fate
The Difficult Couple
Australia Calls (1913 film)
The Wreck (1913 film)
The Drama of the St. Mary's Church Tower
Love and Courage
A Modest Hero
Mabel's Awful Mistakes
Captive Souls
Bob's Baby
A Forest Romance
Ingeborg Holm
The River Wanganui
Three Friends (film)
Shadows of a Great City
For the Crown
The Cloister and the Hearth (film)
The Greater Love
The Night Before Christmas (1913 film)
Safe in Jail
Lime Kiln Field Day
Adrift on Life's Tide
One Can't Always Tell
The Law and His Son
The Enemy's Baby
Calamity Anne's Inheritance
Oil and Water (film)
Red Margaret, Moonshiner
Through the Sluice Gates
Billy's Adventure
On the Broad Stairway
In the Clutches of the Ku Klux Klan
While There's Life
Cupid in a Dental Parlor
The Student of Prague (1913 film)
Black and White (1913 film)
Her Gallant Knights
Silvia Silombra
Jean la Poudre
The Game Warden
The Battle of Waterloo (film)
Truth in the Wilderness
Fedora (1913 film)
The Pit and the Pendulum (1913 film)
The Reprieve (1913 film)
American Born
The Wanderer (1913 film)
The Pink Opera Cloak
Podkova (film)
The Ranchero's Revenge
The Gangsters
If We Only Knew
The Shoemaker and the Doll
Obrona Częstochowy
Love in an Apartment Hotel
Madonna of the Storm
The Wrong Bottle
The Riot
The Woman Haters
The Fire Coward
Wine (1913 film)
How Chief Te Ponga Won His Bride
Lady Marion's Summer Flirtation
The Black Pierrot (1913 film)
Rory o' the Bogs
The Mystery of Pine Creek Camp
When Men Hate
For Her Boy's Sake
Breaking into the Big League
The Invisible Foe
The Power of Conscience
The Faithful Taxicab
Calamity Anne, Heroine
The Forgotten Latchkey
A Melbourne Mystery
Cinders (1913 film)
Bloodhounds of the North
For the Flag
The Scarlet Letter (1913 film)
Brothers (1913 film)
Professor Bean's Removal
The Weapons of Youth
The House in the Tree
He Would a Hunting Go
La moglie di sua eccellenza
The Statue (1913 film)
The Trap (1913 film)
The Stolen Bride (1913 film)
A Mix-Up in Pedigrees
A Message from Mars (1913 film)
When the Earth Trembled
Fatty's Day Off
The Caged Bird
A Daughter of Confederacy
Under the Shadow of the Law
A Change of Administration
A Tender-Hearted Crook
Fantômas (1913 serial)
The Lady Killer (film)
The Mistake (film)
Hamlet (1913 film)
The Foreman of the Jury
Through the Neighbor's Window
Jobson's Luck
A Noise from the Deep
Kissing Cup
Arizona (1913 film)
Laughter and Tears (1913 film)
Dear Old Girl
Unto the Third Generation
Her Big Story
Prompted by Jealousy
Marriage Bureau
Fatty at San Diego
Justice of the Wild
In the Bishop's Carriage
The Tenderfoot's Money
The Cameo
A Little Hero (film)
In the Mountains of Virginia
Zhuangzi Tests His Wife
Pirate Gold (1913 film)
Atlantis (1913 film)
Sea Dogs of Australia
In the Secret Service
The Conflicts of Life
The Unwelcome Guest
So Runs the Way
Tess of the d'Urbervilles (1913 film)
Beautiful Bismark
The Yellow Foal
Pictureland
The Picture of Dorian Gray (1913 film)
Mrs. Carter's Campaign
A Sawmill Hazard
Category:Lists of 1913 films by country or language
The Quakeress
Il bacio di Cirano
Oh, Whiskers!
The House of Temperley
The Hidden Bankroll
Nederland en Oranje
Two Men of the Desert
The Waiters' Picnic
My Husband's Getting Married
When Love Forgives
Olaf-An Atom
The Tramp Dentists
The Battle of Gettysburg (1913 film)
A Quiet Little Wedding
The Lady and the Mouse
In a Woman's Power
Floretta and Patapon (1913 film)
The Last Pardon
The Ex-Convict's Plunge
The Haunted House (1913 film)
A Woman in the Ultimate
Mabel's New Hero
De afwezige
A Frightful Blunder
The Switch Tower
The Old Bachelor's Dream
Brennan of the Moor
I Was Meant for You
Hurricane in Galveston
The Sorrowful Shore
Suspense (1913 film)
The Prisoner of Zenda (1913 film)
The Gypsy Queen
Our Wives
Cohen Saves the Flag
Hiawatha (1913 film)
Murphy's I.O.U.
The Influence of a Child
Der neue Schreibtisch
The Evil Thereof (1913 film)
Almost an Actress
The Face at the Window (1913 film)
'Neath Austral Skies
The Sea Urchin (1913 film)
The Cub Reporter's Temptation
The Stopped Clock
The Old Monk's Tale
The Knight of the Snows
Pan profesor, nepřítel žen
The Miracle (1913 film)
Evangeline (1913 film)
Broken Ways
The Blood Red Tape of Charity
Don't Let Mother Know
The Twelfth Juror
Tricks of Love
The Eaglet (1913 film)
The Man Outside (1913 film)
Maria Marten, or the Mystery of the Red Barn
The Abandoned Well
Roger la Honte (1913 film)
Two Old Tars
The Crook and the Girl
The Bondage of the Bush
Quicksands (1913 film)
Shon the Piper
The Tale of the Ticker
A Girl's Stratagem
When Lincoln Paid
Scrooge (1913 film)
The Gunmaker of Moscow
The Bangville Police
The Shriner's Daughter
The Sick Stockrider
The Oath of Tsuru San
When Dreams Come True
Pět smyslů člověka
The Work Habit
People and Masks
The Sheriff's Baby
Cinderella or the Glass Slipper
Granddad (1913 film)
Konec milování
Hearts of the First Empire
Don Juan (1913 film)
Love Everlasting
The Stolen Treaty
A Desperate Chance
The Remittance Man
The Van Nostrand Tiara
The Well (1913 film)
David Copperfield (1913 film)
The Vengeance of Galora
The Rose of San Juan
Ivanhoe (1913 British film)
Red Hicks Defies the World
Caprice (1913 film)
An Adventure in the Autumn Woods
Calamity Anne's Dream
In the Firelight
The Detective's Stratagem
Preservation of the Sign Language
The Lady Peggy's Escape
Death's Marathon
The System of Doctor Goudron
Nobody's Boy (1913 film)
The Speed Kings
The Hero of Little Italy
The Girl and the Greaser
The House of Darkness
Tower of Terror (1913 film)
Hinemoa (1913 film)
Mohini Bhasmasur
People and Masks Part 2
A Chance Deception
Black-Eyed Susan (1913 film)
Near to Earth
The Conspiracy (1913 film)
Ivanhoe (1913 U.S. film)
It Is Never Too Late to Mend (1913 film)
Calamity Anne's Vanity
Personal Magnetism
Trapped in a Forest Fire
Mabel's Dramatic Career
The Strong Man's Burden
Bunny Dips Into Society
A Cigarette-Maker's Romance
The Indian Wars Refought
Some Nerve
During the Round-Up
Rick's Redemption
Il sire di Vincigliata
That Ragtime Band
The Voice of Passion
Beauty Unadorned
Fatty's Flirtation
Alas! Poor Yorick!
An Indian's Loyalty
The Telltale Light
At Midnight
His Wife's Child
Woman's Honor
Seeing Double (1913 film)
The Witch of Salem
Broken Idol
The Food Chopper War
Leaves in the Storm
The Paymaster's Son
Tommy's Atonement
The House of Discord
Matrimony's Speed Limit
Peeping Pete
Passions, He Had Three
Bianca (1913 film)
The Telephone Girl and the Lady
His Sister's Kids
His Chum the Baron
The Adventures of Kathlyn
The Mystery of St. Martin's Bridge
Transported
Mother's Boy (1913 film)
Beau Brummel (1913 film)
In Diplomatic Circles
The Restless Spirit
Who Will Marry Mary?
The Oath of Pierre
The Perfidy of Mary
Almost a Rescue
A Ride for a Bride
A Misunderstood Boy
A Dangerous Foe
The Battle at Elderbush Gulch
