His Daughter's Dilemma
Chickens (1916 film)
Hungry Hearts (1916 film)
The Soul's Cycle
The Right Direction
Luke's Washful Waiting
Luke Locates the Loot
Cyclamen (film)
Flower of Paris
The Awakening of Helena Richie (film)
Her Father's Son
The Black Butterfly
Diplomacy (1916 film)
The Fatal Glass of Beer (1916 film)
Romeo and Juliet (1916 Metro Pictures film)
Esther (film)
The Tongues of Men
Man and His Soul
Her Bitter Cup
Human Hounds
Shoes (1916 film)
The Shielding Shadow
The Real Thing at Last
Out of the Drifts
Hop, the Devil's Brew
Sweet Kitty Bellairs (1916 film)
The Blacklist (film)
Three Fingered Jenny
A Fair Impostor (film)
Rose of the Alley
Luke Lugs Luggage
The Queen of Spades (1916 film)
The Secret of Delft
The Combat (film)
Hell's Hinges
Mice and Men (film)
Sunshine Dad
Busted Hearts
Common Ground (1916 film)
The Trail of the Lonesome Pine (1916 film)
The Brave Ones
The Market of Vain Desire
Scratched (1916 film)
The Martyrdom of Nurse Cavell
An International Marriage
Never Again (1916 film)
A Maori Maid's Love
The Waiters' Ball
Accusing Evidence
Dolly's Scoop
Dorian's Divorce
The White Rosette
Luke, Rank Impersonator
The Fall of a Nation
Doorsteps
The House of Lies
The Battle of Hearts
The Dupe
The Heart of Nora Flynn
The Green Swamp
The Dawn of Love
Going Straight (film)
Luke, the Gladiator
The Decoy (1916 film)
Lillo of the Sulu Seas
The Bruiser
The Making of Maddalena
Stranded (1916 drama film)
The Lash (1916 film)
A Social Cub
La signorina Ciclone
Lass of the Lumberlands
The Picture of Dorian Gray (1916 film)
Les Vampires
The Twinkler
Unprotected
A Daughter of the Gods
The Man in the Sombrero
The Rink (film)
Liberty (serial)
Luke, the Chauffeur
Tennessee's Pardner
The Fable of the Small Town Favorite Who Was Ruined by Too Much Competition
Iris (1916 film)
King Lear (1916 film)
Susie Snowflake
Better Halves (film)
Purity (film)
The Undertow
The Three Godfathers
A Corner in Cotton
The Dawn Maker
The Highest Bid
Dorrit's Pleasure Trip
Hearts and Sparks
Anton the Terrible
The Second Mrs Tanqueray (1916 film)
Luke's Shattered Sleep
Alien Souls
Miss George Washington
The Thoroughbred (1916 film)
The Battle Royal
If My Country Should Call
Luke's Preparedness Preparations
A Message to Garcia
The Spider (1916 film)
Arsène Lupin (1916 film)
The Soul Market
Divorce and the Daughter
One A.M. (1916 film)
Rolling Stones (film)
The Chance of a Lifetime (1916 film)
John Needham's Double
Intolerance (film)
My Lady Incog
Sally Bishop (1916 film)
The Honorable Friend
The Fate of the Dolphin
Genie tegen geweld
Shell 43
Luke's Society Mixup
The Courier of Moncenisio (1916 film)
The Beggar of Cawnpore
The Flying Torpedo
The Saleslady
Dora Brandes
Luke's Movie Muddle
Kent, the Fighting Man
The Wheel of the Law
The Child of Destiny
Their Honeymoon
Lehmann's Honeymoon
Diamant (film)
The Brand of Cowardice
Still Waters Run Deep (film)
The Quitter
Get-Rich-Quick Wallingford (1916 film)
Luke and the Mermaids
The Return of Draw Egan
The Corner (film)
Thirty Days (1916 film)
The White Boys (film)
