Loner (film)
Nora's Will
Frozen River
Touching Home
Garfield's Fun Fest
Somers Town (film)
Slumdog Millionaire
Tolerantia
Café paraíso
Il Divo (film)
Yaar Meri Zindagi
The Crimson Wing: Mystery of the Flamingos
Kathanayakudu (2008 film)
Sasu Numbari Jawai Dus Numbari
Gautama Buddha (film)
The Caller (2008 film)
Will to Power (film)
The Forbidden Legend Sex & Chopsticks
Adivishnu
The Cloud Mystery
Doomsday (2008 film)
Bloodline (2008 film)
Fling (film)
The Spiderwick Chronicles (film)
Dunya and Desi
27 Dresses
Mum & Dad
If You Are the One
Kaalai
Autumn (2008 film)
The Meerkats
Miss HIV
Nu-Meri: Book of the New Spawn
Desires of the Heart
Saw V
8.5 Hours
The Silent Army
Summer (2008 film)
A Little Dream
Stilyagi (film)
Den siste revejakta
Blind Ambition (film)
Agent Crush
The Three Stooges Collection
Tutta la vita davanti
Mayfly (film)
Naruto Shippuden the Movie: Bonds
Anvil! The Story of Anvil
The Sorrow of Mrs. Schneider
Don Muthu Swami
Red Cliff (film)
Thrill (film)
Carver (film)
Thavalam (2008 film)
Step Brothers (film)
Persona (2008 film)
The Children (2008 film)
Kalidasu
Arugba
Riphouse 151: Could've Been's & Wanna Be's
Franklyn
Whore (2008 film)
Wild Combination: A Portrait of Arthur Russell
Chaati Chiri Dele Tu
Butte, America
Die Hel (film)
Dual (film)
The Country Teacher
Queer China
Fatso (2008 film)
Mutant Chronicles (film)
Major Organ and the Adding Machine (film)
Nim's Island
Victim's Song
The Betrayed (2008 film)
Melancholia (2008 film)
Bande Utkala Janani (film)
Forever the Moment
Thiruvannamalai (film)
La Corona (film)
Finding Amanda
Lovely, Still
Sangre de Mayo
Fate (2008 film)
Meerabai Not Out
Kandisha
Forgiveness (2008 film)
Un giorno perfetto
Murder City: Detroit - 100 Years of Crime and Violence
New York, I Love You
Evita (2008 film)
The World According to Monsanto
Bleach: Fade to Black
Genenet al asmak
Dream Riders
Crossed (film)
The Iron Ladies
White Girl (2008 film)
The Fakir of Venice
Rab Ne Bana Di Jodi
Loving You (2008 film)
Down to the Dirt
The Amazing Truth About Queen Raquela
The Cottage (film)
This Way Up (film)
Bommana Brothers Chandana Sisters
Merlin and the War of the Dragons
Goodbye Mothers
Mizhikal Sakshi
Men's Group
Two Lovers (2008 film)
Confessionsofa Ex-Doofus-ItchyFooted Mutha
Apa Kata Hati?
Bangkok Dangerous (2008 film)
Once Upon a Time in the Provinces
Slingshot Hip Hop
The Wild Man of the Navidad
The Red Spot
Long Weekend (2008 film)
Cars of the Revolution
InAlienable
K-20: Legend of the Mask
Universal Signs
Just Broke Up
Treevenge
The Last Homecoming
Em4Jay
Personal Effects (2008 film)
Vedha
100 (film)
La Journée de la jupe
Jor (film)
Stiletto (2008 film)
The Necessities of Life
The Express
Cash and Curry (film)
Raksha (2008 film)
Ankit, Pallavi & Friends
No One Can Achieve Perfection
Dead Space: Downfall
Fireproof (film)
1. Mai – Helden bei der Arbeit
In the Family (2008 film)
El Cielo Rojo
The Ode
Sizzle (film)
True Women for Sale
Harlan – In the Shadow of Jew Süss
Treeless Mountain
If You Could Say It in Words
Split: A Divided America
Ullasamga Utsahamga
Synecdoche, New York
San Saba (film)
Beautiful (2008 film)
Brahmanandam Drama Company
Vindication (film)
John Appa Rao 40 Plus
Standing on the Edge of the Noise
The Universe of Keith Haring
100 Million BC
Cabfair
Sex and the City (film)
Giovanna's Father
Indra (2008 film)
Shirin (film)
Slam, ce qui nous brûle
