James Bond (1999 film)
Happy, Texas (film)
Nesam Pudhusu
Warlock III: The End of Innocence
Xuxa Requebra
Sophie's World (film)
Simply Irresistible (film)
The Limey
The Devil's Arithmetic (film)
Set Me Free (1999 film)
Durango (film)
Prema Katha
Soft Toilet Seats
The Woman Chaser
Crash Landing (1999 film)
The Attack of the Giant Moussaka
South Park: Bigger, Longer & Uncut
Jalamarmaram
Life (1999 film)
Joe the King
Franky Goes to Hollywood
The Disenchanted Forest
The Canary Yellow Bicycle
Pal Do Pal
Eye of the Beholder (film)
Lake Placid (film)
The World Is Not Enough
Black Light (film)
Random Hearts
Burlesk King
Madonna (1999 film)
Lal Baadshah
Grey Owl (film)
It Came from the Sky
Chalo America
Phool Aur Aag
Bindhaast
Kaadhal Kavithai
Pyaar Mein Kabhi Kabhi
The Sterling Chase
Category:1999 horror films
Captain Jack (film)
Corpus: A Home Movie About Selena
Buddy Boy
A Force More Powerful
Teaching Mrs. Tingle
Nice Guys Sleep Alone
Fara (film)
October Sky
The Big Brass Ring
The Big Split
The Sugar Factory
The Passengers (1999 film)
Troublesome Night 6
My Voyage to Italy
At First Sight (1999 film)
Election (1999 film)
Sneha (film)
Fantasia 2000
Nenjinile
New Rose Hotel (film)
Coming Soon (1999 film)
My Favorite Martian (film)
Ángel, la Diva y Yo
The Bachelor (1999 film)
Jesus' Son
The Mating Habits of the Earthbound Human
Nee Kosam
Human Resources (film)
Falling Sky
Why Not Me? (film)
Aasaiyil Oru Kaditham
Nowhere to Hide (1999 film)
Pranaya Nilavu
Siragugal
Castelo Rá-Tim-Bum (film)
Façade (film)
Ponnu Veetukkaran
Fight Club
American Ammayi
Kolobos
Bartok the Magnificent
Darkness Falls (1999 film)
Hell's Kitchen (1998 film)
Tarzan of the Apes (1999 film)
Play It to the Bone
The Cup (1999 film)
Swapnalokam
Mary, Mother of Jesus (film)
Borxhliu
Anthropophagous 2000
The Ghosts of Christmas Eve
Harry's War (1999 film)
Wonderland (1999 film)
Nee Varuvai Ena
Keiho
Payback (1999 film)
Foolish (film)
Second Skin (1999 film)
Peppermint Candy
Tempting Heart
Jibon Niye Khela
Panchapaandavar
A Love (1999 film)
La Cambrure
Mickey's Mechanical House
Ethirum Pudhirum
Category:1999 television films
Grizzly Falls
Seventeen Years (film)
Restol, The Special Rescue Squad
Milonga (film)
Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.
Wayward Son
The Idiot Returns
Bloodsport 4: The Dark Kumite
The Hunley
Serial Killing 4 Dummys
My Grandmother Ironed the King's Shirts
Inteha (1999 film)
Having Our Say: The Delany Sisters' First 100 Years (film)
Sooryavansham
The Book That Wrote Itself
The Passion of Ayn Rand (film)
After Stonewall
Last Train to Mahakali
Pranayamazha
Universal Soldier: The Return
Kuro no tenshi Vol. 2
6:3 Play It Again Tutti
Suriya Paarvai
Dash and Lilly
Chandranudikkunna Dikhil
Sivan (film)
The End of the Affair (1999 film)
Uncommon Friends of the 20th Century
Voices of the Children
Kanave Kalaiyadhe
Journey to the Sun
Turbulence 2: Fear of Flying
The Tic Code
Final Voyage
On the Ropes
Tube Tales
My Brother the Pig
Catfish in Black Bean Sauce
International Khiladi
Jesus is a Palestinian
Battlestar Galactica: The Second Coming
Frida, en trotjänarinna
Lotus Lantern
Cardcaptor Sakura: The Movie
Udayapuram Sulthan
CKY (video series)
Storm Catcher
The Story of Us (film)
Safe Sex (film)
East of Hope Street
Deal of a Lifetime
Gopalannayarude Thaadi
Bornholms stemme
Shades (1999 film)
Il corpo dell'anima
Kick (1999 film)
Kanooru Heggadithi
The Climb (1999 film)
In Bed with Santa
Kannupada Poguthaiya
Jaime (1999 film)
Don't Look Back (1999 film)
Run for Money
Double Jeopardy (film)
In Concert: A Benefit for the Crossroads Centre at Antigua
De Trein van zes uur tien
Muana Mboka
Yellow Hair
George Lucas in Love
Dulhan Banoo Main Teri
Treehouse Hostage
Baadshah (1999 film)
A Midsummer Night's Dream (1999 film)
Cotton Mary
Wish I Were a Shark
Chill Factor (film)
Por Trás do Pano
Chutney Popcorn
Louis B. Mayer, King of Hollywood
Skin of Man, Heart of Beast
Charisma (film)
General Sutter
The Letter (1999 film)
Judy Berlin
Oxygen (film)
8mm (film)
Lover's Grief over the Yellow River
Split Wide Open
Pitch People
Divided We Fall (film)
A Murder of Crows (film)
The Looney Tunes Hall of Fame
The Book of Stars
The Tricky Master
The Joyriders
When Love Comes Along
The Traces of Light
Il dolce rumore della vita
Shark Skin Man and Peach Hip Girl
Friends & Lovers (film)
Three to Tango
Kartoos
Corrupt (1999 film)
Anbulla Kadhalukku
Gakkō no Kaidan 4
In Heaven (film)
Gregory's Two Girls
Isusumbong Kita Sa Tatay Ko
Jump (1999 film)
Home Page (film)
Universal Soldier III: Unfinished Business
Kaala Samrajya
El chevrolé
Under the Palms
Manam Virumbuthe Unnai
My Life So Far
Agni Shikha
Pathram
Rosies of the North
Goya in Bordeaux
Plunkett & Macleane
Out in Fifty
Erskineville Kings
La Petite Vendeuse de Soleil
Lohpurush
The Fall (1999 film)
Lunar Eclipse (film)
Love and Action in Chicago (film)
Mobutu, King of Zaire
Running Home
Krishna Babu (1999 film)
Loanshark (film)
O Premave
Biwi No.1
Eight Days a Week (film)
Harem Suare
Los Zapaticos me Aprietan
Stealth Fighter
The Iron Giant
Chora Chittha Chora
Komodo (film)
Just the Ticket
Mifune's Last Song
The Other Conquest
Black XXX-Mas
Chena Achena (1999 film)
Pink Prison
Century of the Dragon
Ravimama
Don't Take The Name Of God In Vain
Malabar Police
Dogma (film)
Wildflowers (film)
Dybt vand (film)
Brokedown Palace
The Out-of-Towners (1999 film)
Tabaahi-The Destroyer
Heaven or Vegas
Python (film)
The Blair Bitch Project
Thicker than Water (1999 film)
Baby Geniuses
Anarchy in Japansuke
Northern Skirts
Manuelita (film)
The Green Elephant
Guinevere (film)
Late Last Night (film)
The Astronaut's Wife
American Movie
Gimik
Jawbreaker (film)
World Discoveries III: Dead Sea
Nachtvlinder
Kahpe Bizans
The Love Letter (1999 film)
After Shave (1999 film)
The New Adventures of Pinocchio (film)
Scooby-Doo! and the Witch's Ghost
Full Blast (1999 film)
Alien Adventure
The Legend of the Titanic
Desiya Geetham
Prathyartha
Peppermint (film)
Mister Smile
No Scandal
A Fish in the Bathtub
Felicia's Journey (film)
Anna and the King
De Boekverfilming
The Mummy (1999 film)
The Hunter's Moon (film)
Liang Po Po: The Movie
Deepasthambham Mahascharyam
Devadasi (film)
Aaron Cohen's Debt
Lapin kullan kimallus
Bye Bye Africa
Li chiamarono... briganti!
Devi IPS
Kaun (film)
This Year's Love
Jin-Roh: The Wolf Brigade
Deuce Bigalow: Male Gigolo
New Waterford Girl
Dexter's Laboratory: Ego Trip
The Green Mile (film)
The Winslow Boy (1999 film)
Crime in Connecticut: The Story of Alex Kelly
Sorry Baby
I'll Remember April (film)
Oklahoma! (1999 film)
Splendor (1999 film)
Purple Storm (film)
Almanach 1999-2000
Kikujiro
Tales of Kish
Pros & Cons
Night Train (1999 film)
