A German Robinson Crusoe
Miente y serás feliz
Pak Daman
A Bill of Divorcement (1940 film)
Desh Bhakta
The Westerner (film)
Sailors Don't Care (1940 film)
The Courageous Dr. Christian
Yukon Flight
Saps at Sea
Kiratha Arjuna
Billy the Kid in Texas
Charlie Chan in Panama
Boccaccio (1940 film)
Kampf um Norwegen – Feldzug 1940
Operetta (film)
Four Sons (1940 film)
East of the River
The Catacombs (film)
The Call for Arms
Narciso's Hard Luck
Meet the Wildcat
City for Conquest
Dama de compañía
Haar Jeet (1940 film)
The Ghost Breakers
Wings of Youth
Young People (1940 film)
Christmas in July (film)
Anarbala
Son of Ingagi
Bubbling Troubles
My Daughter Lives in Vienna
When the Daltons Rode
Crimes at the Dark House
Kalyani (1940 film)
The Durango Kid (film)
Rangers of Fortune
The Trail Blazers
Siti Akbari
The Stars Look Down (film)
In the Times of Don Porfirio
Blondie on a Budget
Forgotten Girls
Wagons Westward
The Shop Around the Corner
The Great Dictator
British Intelligence (film)
Comrade X
The House of the Arrow (1940 film)
They Drive by Night
Duel for Nothing
Florian (film)
Moon Over Burma
Den blomstertid
Friedrich Schiller – The Triumph of a Genius
Anne of Windy Poplars (film)
Comin' Round the Mountain (1940 film)
Our Miss Doctor
Little Old New York
Al son de la marimba
Wayda
Vigil in the Night
The Farmer's Daughter (1940 film)
Jeg har elsket og levet
Swing it, magistern!
South of Pago Pago
Harta Berdarah
Too Many Girls (film)
Love Thy Neighbor (1940 film)
Girls Under 21
Cita en la frontera
11 O'Clock
One Man's Law
Double or Nothing (1940 film)
Abe Lincoln in Illinois (film)
Ride, Tenderfoot, Ride
Bécassine (film)
Fantasia (1940 film)
You're Not So Tough
Lambingan
The Fatal Hour (1940 film)
All This, and Heaven Too
London Can Take It!
The Foundling (1939 film)
Lucky Cisco Kid
Yamla Jat
Young as You Feel (1940 film)
Serenade (1940 film)
Adventures of Red Ryder
City of Chance
The Boys from Syracuse (film)
Héroes sin fama
Magbalik ka, Hirang
You Can't Fool Your Wife
The Shadow (serial)
Brother Orchid
The Thrill of the Skies
Street of Memories
High School (1940 film)
Chingolo
The Captain Is a Lady
The Siege of the Alcazar
Lihim ng Lumang Simbahan
Carnaval de antaño
Rose scarlatte
Dulcy (1940 film)
Medha Sharma
Commandment Keeper Church, Beaufort South Carolina, May 1940
Borrasca humana
Boogie-Doodle
The Door with Seven Locks (1940 film)
She Couldn't Say No (1940 film)
Broken Strings (film)
Chingari (1940 film)
Black Friday (1940 film)
Jailbirds
Room for Two
Golden Gloves (1940 film)
Aurat (1940 film)
Pinocchio (1940 film)
Lillian Russell (film)
