Alang-Alang (film)
Disputed Passage
Swanee River (film)
Gul-E-Bakawali (film)
Dick Tracy's G-Men
Day-Time Wife
Money to Burn (1939 film)
The Hunchback of Notre Dame (1939 film)
Mickey the Kid
Banana da Terra
The Whip (1939 film)
Mexicali Rose (1939 film)
I Was a Convict
Smashing the Money Ring
Gone with the Wind (film)
Boys' Reformatory
Bel Ami (1939 film)
D III 88
The Cemetery of the Eagles
Sea Scouts (film)
The Great Man Votes
Children of Divorce (1939 film)
Such Is Life (1939 film)
The Roaring Twenties
Tower of London (1939 film)
The Lone Wolf Spy Hunt
Old Mother Riley, MP
The Arizona Kid (1939 film)
Bad Little Angel
Vara Vikrayam (film)
Mooching Through Georgia
Torchy Blane in Chinatown
Moon Over Harlem
Escape to Paradise
La Mujer y el jockey (Hipódromo)
Thiruneelakantar (1939 film)
The Zero Hour (1939 film)
Yes, My Darling Daughter (film)
Three Wonderful Days
Overland with Kit Carson
Raithu Bidda
These Glamour Girls
Walang Sugat
Entente cordiale (film)
Missing Daughters
Code of the Cactus
We Were Seven Widows
Private Detective (film)
Drunk Driving (film)
Mesquite Buckaroo
Mujeres y toros
Twelve Crowded Hours
Alfalfa's Aunt
The Kansas Terrors
The Gang's All Here (1939 film)
No Place to Go (film)
Mr. Chedworth Steps Out
Renate in the Quartet
The Hound of the Baskervilles (1939 film)
Punjab Mail (film)
Minin and Pozharsky (film)
Devil's Island (1939 film)
The Dark Eyes of London (film)
The Face at the Window (1939 film)
Robin Hood Makes Good
Calling All Curs
The Phantom Stage
Three Sons
Scrambled Eggs (1939 film)
Rovin' Tumbleweeds
She Couldn't Say No (1939 film)
Meet Dr. Christian
Balalaika (film)
Within the Law (1939 film)
The Man in the Iron Mask (1939 film)
Divorce in Montevideo
The Fatted Calf
Judge Hardy and Son
The Magic House (film)
The Story of Alexander Graham Bell
New Frontier (film)
Robert Koch (film)
They Shall Have Music
Adhikar (1939 film)
Five Times Five
The Flying Deuces
Panama Lady
Flight at Midnight
Smuggled Cargo
The Gorilla (1939 film)
Riders of the Frontier
Slightly Honorable
Sorority House (film)
Inside Story (film)
Society Smugglers
Tropic Fury
Palabra de honor
The Saint Strikes Back
Bad Lands (1939 film)
You Can't Cheat an Honest Man
Wife, Husband and Friend
Uproar in Damascus
Doctor Murek
Gulliver's Travels (1939 film)
In Old Monterey
20,000 Men a Year
Woman at the Wheel
Four Hearts
Bridal Suite
Inquest (1939 film)
The Little Lost Sheep
So This Is London (1939 film)
Tevya (film)
Indramalati
Secret Service of the Air
The Oregon Trail (1939 serial)
Wibbel the Tailor (1939 film)
Come On George!
5th Avenue Girl
Forged Passport
The Under-Pup
Woman in the River
Tiny Troubles
The Ugly Duckling (1939 film)
Peace on Earth (film)
The Scoundrel (1939 film)
Der Westwall
Let Us Live
Category:The Wizard of Oz (1939 film)
Mr. Smith Goes to Washington
Land of Liberty
Racketeers of the Range
The Light That Failed (1939 film)
Leatherface (1939 film)
Good Girls Go to Paris
The Great Citizen
The Mikado (1939 film)
Metropolitan (1939 film)
The Phantom Creeps
Torchy Blane... Playing with Dynamite
Love Affair (1939 film)
Too Dangerous to Live
Thunder Afloat
The Curtain Falls
Mille chilometri al minuto!
Seven Little Australians
Rhythm on the Reservation
Pride of the Blue Grass (1939 film)
Entre el barro
