Kolangal (1995 film)
Good Men, Good Women
Gold Diggers: The Secret of Bear Mountain
Canadian Bacon
Ruby Fruit
Sin remitente
Escape to Witch Mountain (1995 film)
Mana Midiyithu
The Poison Tasters
A Reason to Believe
Leprechaun 3
Gadibidi Aliya
Con el alma
Guantanamera (film)
The Usual Suspects
An Ambition Reduced to Ashes
Moonlight and Valentino
Sleeping Beauty (1995 film)
Arabikadaloram
Bad Company (1995 film)
Himapatha
God and Gun
Last of the Dogmen
The Blade (film)
Ballet (film)
Naajayaz
The Garden (1995 film)
White Dwarf (1995 film)
Sarhad: The Border of Crime
Aatank Hi Aatank
Sons of Trinity
Skin (1995 film)
Drifting School
Panther (film)
Murai Mappillai
Curtis's Charm
Sarah... Ang Munting Prinsesa
Gangai Karai Paattu
Synthetic Pleasures
Tokyo Fist
Korea (film)
Home for the Holidays (film)
The Girl with the Hungry Eyes (1995 film)
Chakravarthy (1995 film)
A Dream, What Else?
Premeditated Murder (film)
Yaraana (1995 film)
Deva (1995 film)
Paandav
The Piano Lesson (film)
Villadhi Villain
Pari (film)
The West Side Waltz
Hayride to Hell
Bert: The Last Virgin
Friday (1995 film)
Trimurti (film)
The Christ of Nanjing
Bach's Fight for Freedom
Take It Out in Trade: The Outtakes
Jallaad
The Pebble and the Penguin
Young Policemen In Love
Holy Week (film)
The Expert (1995 film)
Downtime (Doctor Who)
Sorceress (1995 film)
Mera Damad
I, a Russian soldier
Category:1995 animated films
The Low Life
Kakkakum Poochakkum Kalyanam
Saajan Ki Baahon Mein
Pib and Pog
The Face on the Milk Carton (film)
Deadly Sins (film)
The Corridor (1995 film)
The Chinese Feast
Pedarayudu
Sreeragam
Solomon & Sheba (1995 film)
Clockers (film)
It Takes Two (1995 film)
My Antonia (film)
Jo Darr Gya Woh Marr Gya
La scuola
Bye-Bye (film)
Bambai Ka Babu (1996 film)
Devdoot
The Infiltrator
Johnny Mnemonic (film)
Jeremy Hardy Gives Good Sex
Savyasachi (film)
The Dying Rooms
I Shot a Man in Vegas
The Bridges of Madison County (film)
English, August (film)
A Narmada Diary
Niños envueltos
Bulan Tertusuk Ilalang
Faces of Death V
Mounam
Steal Big Steal Little
Sisindri
Legendary Couple
The Hard Case
Boys on the Side
Fall Time
Snowball (film)
Castle Freak
Rob Roy (1995 film)
Putnanja
Rikshavodu
Never Give Up: The 20th Century Odyssey of Herbert Zipper
Island of Roses: The Jews of Rhodes in Los Angeles
The Young Poisoner's Handbook
Zero Kelvin (film)
Father of the Bride Part II
Comfortably Numb (film)
Achan Kombathu Amma Varampathu
Hulchul (1995 film)
King of the River (film)
Stairs 1 Geneva
Maidan-E-Jung
Hotel Sorrento
Banglar Nayok
L'aube à l'envers
La Cérémonie
Aniyan Bava Chetan Bava
The Basketball Diaries (film)
JLG/JLG – Self-Portrait in December
The Colony (1995 film)
Bhagya Debata
A Mongolian Tale
Separate Lives (1995 film)
Sakshyam
Man of the House (1995 film)
Peter Scott (film)
Sailor Moon Super S: The Movie
Crime that Changed Serbia
The Drivetime
Spadikam
Category:Lists of 1995 films by country or language
Doraemon: Nobita's Diary of the Creation of the World
Inner City (film)
Charlie's Ghost Story
Apollo 13 (film)
The Glass Shield
The Chicken from Outer Space
Snow White (1995 film)
Murai Maman
Live Bait (film)
A Last Note
Tom Clancy's Op Center (film)
Oink (film)
The Stars Fell on Henrietta
Out of the Present
Peculiarities of the National Hunt
Toy Story
Maborosi
Glory Daze
Facciamo paradiso
My Family (film)
Tunnel Vision (1995 film)
Romanzo di un giovane povero
Dolores Claiborne (film)
On Your Mark
Pocahontas: The Legend
El Palomo cojo
Fist of the North Star (1995 film)
Hank Aaron: Chasing the Dream
Aasai
Problem Child 3: Junior in Love
Mighty Morphin Power Rangers: The Movie
The Grotesque (film)
Jumanji
Deep River (film)
Tom and Huck
Things to Do in Denver When You're Dead
The Crossing Guard
Crossroads of Laredo
