Killer Clans
Srishti (film)
Mikey and Nicky
Family Plot
La otra alcoba
In the Region of Ice
Two-Minute Warning
Sturmtruppen (film)
The Captive: The Longest Drive 2
Ajayanum Vijayanum
The Best Way to Walk
The Return of a Man Called Horse
The Last Supper (1976 film)
Quanto è bello lu murire acciso
Crime and Passion
If I Had to Do It All Over Again
Free Hand for a Tough Cop
Zítra to roztočíme, drahoušku…!
The Mysterious Monsters
Savana violenta
Mowgli's Brothers (1976 TV Special)
Bartleby (1976 film)
Fellini's Casanova
The Pink Panther Strikes Again
Chennaaya Valarthiya Kutty
Sherlock Holmes in New York
Tora's Pure Love
Mugiyada Kathe
One Summer Love
Naa Ninna Mareyalare
Change of Sex
Beyond the Last Mountain
A Sold Life
Bangarada Gudi
Goodbye, Norma Jean
A Lost Life
Aaj Ka Ye Ghar
W.C. Fields and Me
Sex with a Smile
Babatu
Femmes de Sade
Cannonball (film)
Welcome to My Nightmare (film)
Mattie the Goose-boy (film)
Return of the Kung Fu Dragon
Brother and Sister (film)
Midway (film)
The Little Mermaid (1976 Russian film)
Victory March (film)
The Black Corsair (1976 film)
Bhakta Kannappa
Sankoch
Bahaddur Gandu
Ammini Ammaavan
Man Without a Name
Gapa Hele Bi Sata
Mako: The Jaws of Death
Street People (film)
Who Can Kill a Child?
Chirikkudukka (1976 film)
Fumō Chitai
Annakili
Familien Gyldenkål sprænger banken
The Mighty Peking Man
Kanyaadaanam
Black Magic 2
Barney (film)
Flood!
La Casa del Pelícano
Grand Jury (1976 film)
The Gumball Rally
Tattooed Flower Vase
Length of War
Drum (1976 film)
Paarijatham (film)
Agaton Sax och Byköpings gästabud
Dirty Ho
The House with Laughing Windows
La figliastra
A Child in the Crowd
The Big Night (1976 film)
Beatriz (film)
Black Cobra Woman
The Twelve Tasks of Asterix
House of Mortal Sin
Il solco di pesca
The Blank Generation
The Cassandra Crossing
Won Ton Ton, the Dog Who Saved Hollywood
Piedra libre
The Incredible Sarah
Kaayamkulam Kochunniyude Makan
Naach Uthe Sansaar
Treasure of Matecumbe
Near and Far Away
Oz (1976 film)
O Parvardigar (film)
Gabriel (1976 film)
Creature from Black Lake
Bugsy Malone
God Speed You! Black Emperor
Impressions de la Haute Mongolie
The Legend of Bigfoot
Aruthu
Nee Ente Lahari
The Valley (1976 film)
Shoot (film)
Confessions of a Frustrated Housewife
Wan Pipel
The Office Party
Lifeguard (film)
The Youth Killer
The Wackiest Wagon Train in the West
Here and Elsewhere
El Profesor erótico
Cyclops (1976 film)
Bhadrakali (film)
Angst (1976 film)
Grendizer, Getter Robo G, Great Mazinger: Kessen! Daikaijuu
The Scar (film)
Small Change (film)
Keoma (film)
Massacre at Central High
Duelle
Aap Beati
Assassination in Davos
Pipe Dreams (1976 film)
The Monkey Hustle
Lunatics and Lovers
Oh, Serafina!
L'hippopotamours
Kapıcılar Kralı
The Devil's Playground (1976 film)
Laila Majnu (1976 film)
1900 (film)
21 Hours at Munich
High Street (film)
Hand of Death
Nashville Girl
Do Khiladi
Perdutamente tuo... mi firmo Macaluso Carmelo fu Giuseppe
Carrie (1976 film)
Bairaag
Kara Murat Şeyh Gaffar'a Karşı
Once Upon a Girl
Lottovoittaja UKK Turhapuro
The Cop in Blue Jeans
Game of Seduction
The Story of David
Tatlong taong walang Diyos
Insiang
Polly Me Love
Lucecita (1976 film)
The Last Tycoon (1976 film)
Febbre da cavallo
Bloody Payroll
Shesha Shrabana
L'affittacamere
The Great Scout & Cathouse Thursday
Keep It Up Downstairs
The Olsen Gang Sees Red
To the Devil a Daughter
Khalifa (film)
Boomerang (1976 film)
The Town That Dreaded Sundown
Siri Siri Muvva
Santo Banto
Jonah Who Will Be 25 in the Year 2000
Shankar Dada
Satan's Brew
Foxtrot (film)
Caddie (film)
Kimi yo Fundo no Kawa o Watare
Bala (1976 film)
The Passengers (1977 film)
Il secondo tragico Fantozzi
One Silver Piece
Naked Massacre
Chitra Pournami
Accident (1976 film)
Not a Pretty Picture
The Strange Hostel of Naked Pleasures
Mastermind (film)
People of the Wind
Merciless Man
Find the Lady (1976 film)
Manimuzhakkam
Mad Dog Morgan
Chulas Fronteras
Megher Onek Rong
All the President's Men (film)
One Away (film)
Donna... cosa si fa per te
The Eagle Has Landed (film)
The First Nudie Musical
Calmos
Blue Puppy
Aalinganam
The Gallant Lords of Bois-Doré
The Inheritance (1976 film)
That's Entertainment, Part II
Vigilante Force
Colpita da improvviso benessere
Udyaanalakshmi
Logan's Run (film)
Jack Lemmon - A Twist of Lemmon
Leadbelly (film)
Il comune senso del pudore
The Duchess and the Dirtwater Fox
Sajjo Rani
Scorchy
Rajayogam
A Sunday in Hell
Basta che non si sappia in giro
The Heist (1976 film)
Unarchigal
Akka (film)
Independence (1976 film)
Island of Death (film)
Joshua (1976 film)
Oma Irama Penasaran
Kings of the Road
The Sternstein Manor
The Seven-Per-Cent Solution (film)
The Con Artists
Manmadha Leelai
Ganito Kami Noon, Paano Kayo Ngayon
Coup de Grâce (1976 film)
Marathon Man (film)
Youthquake!
Once an Eagle (miniseries)
My Heart Is in the Highlands
Náš dědek Josef
One Hour to Zero
The Shaggy D.A.
Yudhabhoomi
Hello Baby (film)
A Cricket in the Ear
Escape from the Dark
Category:Lists of 1976 films by country or language
Do Anjaane
Eccentricities of a Nightingale
Needhikku Thalaivanangu
Jyothi (1976 film)
Max Havelaar (film)
Master of the Flying Guillotine
Le guêpier
Apache Woman (1976 film)
The Professional Touch
Heart of Glass (film)
College Ranga
How Czar Peter the Great Married Off His Moor
Silence in the Forest (1976 film)
How Much Wood Would a Woodchuck Chuck (film)
Bound for Glory (film)
Jack the Ripper (1976 film)
Shunkinshō (film)
Moondru Mudichu
Mister Scarface
The Lindbergh Kidnapping Case
In Search of Noah's Ark
Time Travelers (1976 film)
Chinese Roulette
Uzhaikkum Karangal
Death Rage
Mr. Robinson (film)
SS Experiment Camp
Rocky
Den sommeren jeg fylte 15
The Great Texas Dynamite Chase
The Wild Nation
Duhulu Malak
Confessions of a Driving Instructor
Category:1976 martial arts films
Kalicharan
Bruce Lee's Secret
Madol Duwa
Manthan
Arvind Desai Ki Ajeeb Dastaan
Gus (1976 film)
Missi (film)
Killer Force
The Fourth Wish
Blackwood (film)
The Killing of a Chinese Bookie
Noroît
Feelin' Up
Juan que reía
Scrambled Eggs (1976 film)
Dogs (1976 film)
Working Man Trilogy
Dr. Black, Mr. Hyde
Barood (1976 film)
Little Marcel
Sharafat Chod Di Maine
Annie (1976 film)
Los Cuatro secretos
A Queen's Ransom
Oru Oodhappu Kan Simittugiradhu
Dona Flor and Her Two Husbands
Spirit of Seventy Sex
Lumière (film)
I Am Pierre Riviere
The Last Hard Men (film)
Bajrangbali (film)
Arjun Pandit
Werewolf Woman
Cross Shot
Queen Kong
At the Earth's Core (film)
Sister Street Fighter – Fifth Level Fist
Trial by Combat (film)
Peeper (film)
Neela Sari
The Sudden Loneliness of Konrad Steiner
Swashbuckler (film)
Ebony, Ivory & Jade
Ghost Train International
A Small Town in Texas
Across the Great Divide (film)
The Private Eyes (1976 film)
Sensational Janine
Echoes of a Summer
The Death Collector
Shaolin Wooden Men
Mazdoor Zindabaad
Aaram Haram Aahe
Society Girl (1976 film)
Hit Squad (film)
St. Ives (1976 film)
Silver Streak (film)
No Way Back (1976 film)
Idhaya Malar
Zindagi (1976 film)
Samasya
High Velocity (film)
Smash-Up on Interstate 5
The Tenant
Czerwone ciernie
The Last Tempest
Silent Movie
Like Rabid Dogs
Abhinandanam
Rangila Ratan
Thulavarsham
Caro Michele
Bruce Lee and I
Betty Blokk-buster Follies
Ozhukkinethire
Your Neighbor's Son
The Witch Who Came from the Sea
Up! (1976 film)
From Noon till Three
La Orca
Blood and Bullets
Mogam Muppadhu Varusham
Antti the Treebranch
The Front
Goodnight, Ladies and Gentlemen
Murder by Death
The Innocent (1976 film)
Napoli violenta
Batton Story
Surveykkallu
Manushulanta Okkate
Dracula and Son
Bruce Lee Fights Back from the Grave
Colt 38 Special Squad
La casa de las sombras
Sybil (1976 film)
The Passover Plot (film)
San Babila-8 P.M.
Let's Talk About Youth
Carry On England
The Wonderful World of Puss 'n Boots
The Opening of Misty Beethoven
Anubhavam
Monsieur Pointu (film)
Rang-ha (film)
Devaru Kotta Vara
Nehle Pe Dehla
Wasana
I Want to Live (1976 film)
Safari Express
Charas (1976 film)
The World of Alfred Hitchcock
I Will, I Will... for Now
The Double Man (1976 film)
Under the Doctor
No toquen a la nena
El buscabullas
King Kong (1976 film)
Category:1976 television films
Gonga Silonir Pakhi
Next Stop, Greenwich Village
The Food of the Gods (film)
La professoressa di scienze naturali
