Camping (1978 film)
Born Invincible
Legend of the Maiden Tower
Koko: A Talking Gorilla
Odds and Evens (film)
Besharam
Thappida Thala
Rudhra Thaandavam
Balapareekshanam
Snake & Crane Arts of Shaolin
Violet (1978 film)
Justice Gopinath
Showdown at the Cotton Mill
Eyes Behind the Stars
The Lyre of Delight
Nga mesi i errësirës
Un Idilio de estación
Black Beauty (1978 film)
Thirukkalyanam
Dyesebel
The Little Wheedlers
The Great Brain (film)
Ashtamudikkaayal
Madaalasa
Attack of the Helping Hand
Dui Purush (1978 film)
Black Box (1978 film)
Con mi mujer no puedo
Newsfront
The Bermuda Triangle (film)
Fear and Loathing on the Road to Hollywood
Panic High School
Ascensor
The Man Who Knew Love
Adventures of Aladdin
Star Wars Holiday Special
Thank God It's Friday (film)
Bairavi
Fingers (1978 film)
Kiladi Jodi
Rosie Dixon – Night Nurse
The Initiation of Sarah
The Other Side of the Mountain Part 2
Radiance: The Experience of Light
La escopeta nacional
Krabat – The Sorcerer's Apprentice
The Alpha Incident
The Fifth Floor
Solution No. 1
Budo: The Art of Killing
Warlords of Atlantis
Ranga Daku
Orkkuka Vallappozhum (1978 film)
Coming Home (1978 film)
Já jsem Stěna smrti
The Sailor's Return (film)
Raju Rahim
Vertical Features Remake
El sacerdote
Randilonnu
Vathsalya Patha
Kaala Aadmi
La Casa del Pelícano
Sone Ka Dil Lohe Ke Haath
Cheerleaders Beach Party
Sammy's Super T-Shirt
Oliver's Story (film)
Swarg Narak
Pokkattadikkaari
Goodnight Miss Ann
Charleen
The Tiger (1978 film)
Goin' South
Muhammadum Musthafayum
Spiritual Kung Fu
The Pirate (1978 film)
The Fury (1978 film)
Kanalkattakal
Ankh Ka Tara
Death on the Nile (1978 film)
Carry On Emmannuelle
The Image of Bruce Lee
Death Dimension
Ekakini
Tumhare Liye
The Mine (1978 film)
Tudo Bem (film)
One Two Two
Uthrada Rathri
Disco Fever (film)
The Thirty Nine Steps (1978 film)
The Left-Handed Woman
Sathrathil Oru Raathri
An Ordinary Miracle (1978 film)
Follie di notte
Safed Haathi
The Uranium Conspiracy
Vishwanath (film)
Jubilee (1978 film)
Madhuraiyai Meetta Sundharapandiyan
Every Girl Should Have One
Raghuvamsham (film)
General Chakravarthi
Snehikkan Samayamilla
Rocking Horse
El Tío Disparate
Force 10 from Navarone (film)
Blindfolded Eyes
Nowhere to Run (1978 film)
Puff the Magic Dragon (film)
Nasbandi
Gaman
Candido Erotico
Buffalo Rider
Invincible Shaolin
The Last Mission of Demolitions Man Cloud
Nunzio (film)
Aniyara
Varuvan Vadivelan
Maraschino Cherry (1978 film)
Stony Island (film)
The Second Awakening of Christa Klages
Mon premier amour
Animal House
Straight Time
A Hero Ain't Nothin' but a Sandwich (film)
Test pilota Pirxa
The Bees (film)
Toote Khilone
Northern Lights (1978 film)
Ripkin
Junior High School (film)
Magnificent Bodyguards
Lo chiamavano Bulldozer
Squires of San Quentin
Nawab Sahib
Summer of My German Soldier (film)
Junoon (1978 film)
The Scenic Route
Mallepoovu
Renaldo and Clara
Lisa (1978 film)
Thyagam
Gehenu Lamai
Gay USA (film)
Orchestra Rehearsal
Big Wednesday
Khoon Ki Pukaar
With This Ring (1978 film)
Karmayogi (1978 film)
Black Angel (1978 film)
Samayamaayilla Polum
Primo amore (1978 film)
La Zizanie (film)
Inkaar (1978 film)
Adavukal Pathinettu
Verna: USO Girl
The Idlers of the Fertile Valley
Paavathin Sambalam
Devata (1978 film)
Jalatharangam (film)
Dag Dokter!
Fists of Bruce Lee
How to Lose a Wife and Find a Lover
High-Ballin'
Naalaaga Endaro
Hungarians (film)
An Unmarried Woman
Death Drug
Vilakkum Velichavum
Iniyaval Urangatte
Jak dostat tatínka do polepšovny
Maathu Tappada Maga
Give Us Tomorrow
Nadi Theke Sagare (1978 film)
Ee Ganam Marakkumo
Kudure Mukha
Tomorrow Never Comes
Moritz, Dear Moritz
The Band (film)
Las truchas
A Death in Canaan
Fairy Tales (film)
Wilmington 10 -- U.S.A. 10,000
The Deadly Mantis (1978 film)
Begadang
Awaz (1978 film)
Pati Patni Aur Woh
Hi-Riders
Vayasu Pilichindi
War of the Robots (film)
Rowdy Ramu
Silver Saddle
Thacholi Ambu
Pilot Premnath
A Woman Called Moses
Bye Bye Monkey
Manny's Orphans
Ithaanente Vazhi
Balina Guri
Target of an Assassin
The Greatest Battle
El Fantástico mundo de María Montiel
Aayiram Jenmangal
El Chanfle
Kudumbam Namukku Sreekovil
Fængslende feriedage
The Tree of Wooden Clogs
A Simple Story (1978 film)
Eeta
Hullabaloo Over Georgie and Bonnie's Pictures
Every Which Way but Loose (film)
Ecce bombo
Kizhake Pogum Rail
Paral Ko Aago
Harper Valley PTA (film)
Sandharbha
Yagaswam
Aanakkalari
The Punk Rock Movie
Estas são as armas
Roots of Blood
Cindy (film)
Adimakkachavadam
Hughes and Harlow: Angels in Hell
Beyond and Back
The Last Waltz
Convoy Busters
The Swarm (film)
Bandhanam
Xenogenesis (film)
Aasramam
Emanuelle and the White Slave Trade
Margarito Tereré
Science Ninja Team Gatchaman: The Movie
Auditions (film)
The ABC of Love and Sex: Australia Style
Bhale Huduga
Pastorale 1943
The Bloodstained Shadow
The Demon (1978 film)
Dawn of the Dead (1978 film)
Doctor Dracula
Demolition (1978 film)
Sadhurangam (1978 film)
Sattam En Kaiyil
Corvette Summer
Gaandharvam
Deadly Chase (film)
Madhurikkunna Raathri
Shalimar (1978 film)
Los Días del pasado
Far Away and Long Ago
The Wild Geese
Sonnadhu Nee Thanaa
Paduvaaralli Pandavaru
Rappadikalude Gatha
The Lazarus Syndrome
Seagulls Fly Low
The Avenging Eagle
Dirty Tiger, Crazy Frog
Os Trapalhões na Guerra dos Planetas
The Adventures of Picasso
Eagle's Claw
Kanchana Sita
Crippled Avengers
Vanakkatukuriya Kathaliye
Dracula's Dog
The Green Room (film)
Yo también tengo fiaca
Aanappaachan
The Inglorious Bastards
Khoon Ka Badla Khoon
King (miniseries)
That's Carry On!
Mera Rakshak
L'arma
Dokter Vlimmen
Youngblood (1978 film)
Filming Othello
In My Life (1978 film)
California Suite (film)
The Small One
If Ever I See You Again (film)
Occupation in 26 Pictures
The Water Babies (film)
Moby Dick (1978 film)
Anubhoothikalude Nimisham
The Big Sleep (1978 film)
All You Need Is Cash
Lady on the Bus
Kalpavriksham
Rathinirvedam (1978 film)
Rabbit Test (film)
Surprise Sock
Society Lady
Sommokadidi Sokokadidi
Seemanthini (film)
The Suspended Vocation
Blue Fin
Fatal Needles vs. Fatal Fists
Missile X – Geheimauftrag Neutronenbombe
Coma (1978 film)
Halloween (1978 film)
The Norseman
The Glass Cell (film)
