Miss Jerry
Glenroy Bros., (no. 2)
Carmencita (film)
Corbett and Courtney Before the Kinetograph
Autour d'une cabine
The Barbershop
Rêve au coin du feu
Annie Oakley (1894 film)
Bucking Broncho
Chinese Opium Den
Falling Cat
Annabelle Butterfly Dance
Luis Martinetti, Contortionist
Buffalo Dance (film)
Sandow (film)
Fred Ott's Sneeze
