Robinson Crusoe (1902 film)
How to Stop a Motor Car
Jack and the Beanstalk (1902 film)
The Little Match Seller
Danse des Ouléd-Naïd
Gulliver's Travels Among the Lilliputians and the Giants
Choque de trenes
A Trip to the Moon
Montserrat (1902 film)
Living Wigan
Restitution inattendue
The Catastrophe of the Balloon "Le Pax"
The Coronation of Edward VII
The Extraordinary Waiter
La fée printemps
Snow White (1902 film)
Lazarus (Salvation Army film)
The Treasures of Satan
The Eruption of Mount Pelee
