When Saturday Comes (film)
Curdled (film)
All Power to the People
Ucieczka
Tamizh Selvan
Chhote Sarkar (1996 film)
Ajay (1996 film)
Bhishma (1996 film)
Kaanaakkinaavu
Public Enemies (1996 film)
Bullet (1996 film)
City Hall (film)
Jack Brown Genius
Kolya
Vesna Goes Fast
Indian (1996 film)
Happy Gilmore
Joyride (1996 film)
The Boy from Mercury
Dead Girl (film)
Gabbeh (film)
Carla's Song
Dyesebel
A Modern Affair
Ridicule
Kinnam Katta Kallan
Willi und die Windzors
Tai Chi Master (film)
The Proprietor
Dear Diary (1996 film)
Feeling Minnesota
Pułkownik Kwiatkowski
Bloodfist VIII: Trained to Kill
Amityville Dollhouse
The Ring (1996 film)
Institute Benjamenta
Albergo Roma
Bogus (film)
Evil Ambitions
Homeward Bound II: Lost in San Francisco
Parklands (film)
Night Train to Venice
Hitlist (film)
Power 98 (film)
Desadanam
Sgt. Bilko
Infinity (film)
Up Close and Personal (film)
The Day a Pig Fell into the Well
Grenzeloze Liefde – Made in Japan
Korea (film)
Enakkoru Magan Pirappan
Cedie
Drawing Flies
Chicken Park
Last Man Standing (film)
Party (1996 film)
The Legend of Gator Face
Sunset at Chaophraya (1996 film)
Conspirators of Pleasure
Harenchi Gakuen
Daayraa
Eye for an Eye (1996 film)
Manny & Lo
Les Agneaux (film)
Street of Fury
Chaahat (1996 film)
Cannibal! The Musical
Corwin (film)
Trilogy of Terror II
How the War Started on My Island
Poovarasan
Gone, Gone Forever Gone
The Evening Star
Don't Be a Menace to South Central While Drinking Your Juice in the Hood
The Last Big Thing
A Very Brady Sequel
To Face Her Past
Adrenalin: Fear the Rush
Emma (1996 theatrical film)
Rebound: The Legend of Earl "The Goat" Manigault
Sivasakthi
Camilla (1994 film)
Twelfth Night (1996 film)
Not Me!
Vasantha Vaasal
Kanjirappally Kariachan
Charlotte Sophie Bentinck (film)
Uncle Sam (film)
The Long Kiss Goodnight
Swapna Lokathe Balabhaskaran
Spectre (1996 film)
Muppet Treasure Island
Silent Lies
Don't Forget Me (1996 film)
Khamoshi: The Musical
Silent Trigger
Mafia (1996 film)
Lilla Jönssonligan och cornflakeskuppen
Ticket to New Year's
The Stars Are Underground
Swarnachamaram
