And Hope to Die
Lone Wolf and Cub: Baby Cart in Peril
Frogs (film)
Akkarapacha
Laksamana Do Re Mi
Frenzy
The Lonely Killers
My Dear Killer
Pakeezah
The Strange Vengeance of Rosalie
The Valachi Papers
Category:1972 horror films
Do Yaar
Female Convict 701: Scorpion
Dharmam Engey
Hellé (film)
Richard (film)
He nacido en la ribera
Honeymoon (1972 film)
A Bay of Blood
The Magnificent Seven Ride
The Bride from Hell
The Legend of Boggy Creek
The Spy's Wife
Ulzana's Raid
To Kill a Clown
Journey Through Rosebud
Savages (1972 film)
The Casino (film)
Trick Baby
Pancho Villa (film)
Dívka na koštěti
Bandagi
Marjoe
Foreigners (film)
The Cremators
Savage Messiah (1972 film)
Manavudu Danavudu
Yaava Janmada Maitri
Fuzz (film)
Janghwa Hongryeon jeon (1972 film)
Our Miss Fred
Travels with My Aunt (film)
The Tall Blond Man with One Black Shoe
Go for a Take
Trop jolies pour être honnêtes
Asylum (1972 documentary film)
Trisandhya
Ek Adhuri Kahani
The Three Robbers
Moon of the Wolf
Beware! The Blob
Raising the Roof
Monologue (film)
Ape and Super-Ape
Bandits from Shantung
Willi Manages The Whole Thing
Ben (film)
I Love You Rosa
A Fan's Notes (film)
São Bernardo (film)
Joe Kidd
It Can Be Done Amigo
A Time for Loving
Chato's Land
Sounder (film)
Agathiyar
The New Land
Autocine Mon Amour
Naagarahaavu
The Wedding (1972 film)
Baalyaprathijna
Ludwig: Requiem for a Virgin King
Taxi Car
Women Cars Villas Money
Havoc (1972 film)
Gnana Oli
Panhjapor Tevi
Up the Front
Four Girls from Hong Kong
The 14 Amazons
Kala Sona
Destino de un capricho
The Hassled Hooker
Shayar-e-Kashmir Mahjoor
The Hot Rock (film)
Aaradimanninte Janmi
Children Shouldn't Play with Dead Things
The Doberman Gang
1001 Danish Delights
Do Chor
Don't Torture a Duckling
Voulez-vous coucher avec God?
Flashpoint (1972 film)
Ream Chbong Yeung
The Happiness Cage
Night Call Nurses
L'aventure, c'est l'aventure
Challenge to Be Free
Brahmachari (1972 film)
The Marshal of Windy Hollow
Empire M
Jawani Diwani
Treasure Island (1972 live-action film)
The Master and Margaret (1972 film)
Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues
An Euil Srey An
Nevestka
Eye in the Labyrinth
Blood of Ghastly Horror
Film Portrait
All the Colors of the Dark
Daddy's Deadly Darling
For the Love of Ada (film)
La Pandilla inolvidable
Pink Floyd: Live at Pompeii
The Scientific Cardplayer
Silent Night, Bloody Night
Oyster Village
Los Velázquez
The Rendezvous (1972 film)
Insect Woman (1972 film)
Sun Seekers
Beau Masque
Umbracle
Annai Velankanni
Matamgi Manipur
The Godfather
Bees Saal Pehle
The Fists of Vengeance
Last of the Red Hot Lovers (film)
What Am I Doing in the Middle of the Revolution?
Night of the Bloody Apes (film)
Dear Dead Delilah
The Dawns Here Are Quiet
Last of the Red Hot Lovers
Les malheurs d'Alfred
Patriotic Martyr An Jung-gun
Shirley Thompson vs. the Aliens
Roma (1972 film)
Premonition (1972 film)
La bella Antonia, prima monica e poi dimonia
Beads from a Petal
This Kind of Love (film)
Sneehadeepame Mizhi Thurakku
Bye Bye Blackboard
Vasantha Maligai
Anokha Milan
Maya Darpan
Every Little Crook and Nanny
Wandering Ginza Butterfly 2: She-Cat Gambler
I Dismember Mama
The Grand Duel
The Woman Hunt
Noor pensionär
The Jerusalem File
The Adventures of Barry McKenzie
Panimudakku
Arunodoyer Agnishakkhi
A City's Child
Un flic
Nobody Ordered Love
Present Indicative
Al Asfour
Theerthayathra
