Human Highway
Maattuvin Chattangale
Aarambham
Aphrodite (film)
If You Love This Planet
Mamma (1982 film)
Alice Cooper a Paris
Tears Were Falling
Tragedy of a Ridiculous Man
The Passerby (1982 film)
The Big Brother
En rachâchant
Class of 1984
Paanjajanyam
Category:1982 direct-to-video films
Britannia Hospital
By Design
Incident at Map Grid 36-80
Tenkōsei
Kami (1982 film)
The Dorm That Dripped Blood
The Scarlet Pimpernel (1982 film)
I'm Going to Live by Myself
Dimensions of Dialogue
Kallimullu
S.A.S. à San Salvador
Ban Geum-ryeon
The Life and Adventures of Nicholas Nickleby (1982)
Chappa
Requiem (1982 film)
Come Unto Down
Parsifal (1982 film)
Chan Is Missing
Conan the Barbarian (1982 film)
Girls Nite Out
Carry On Pickpocket
Illusions (film)
Nutcracker (film)
The Verdict
La Casa de las siete tumbas
Ayaash
Kaadhal Oviyam
Poo Viriyum Pulari
Privates on Parade (film)
Harry Tracy, Desperado
Fast-Walking
Laxmichi Paule
Sesso e volentieri
Idavela
Suvarna Sethuve
Sooryan (1982 film)
Fighting Back (1982 film)
Forbidden World
Poi Satchi
Some Kind of Hero
Enkeyo Ketta Kural
Firefox (film)
Kaliyuga Ramudu
The Flight of Dragons
Tiger Joe
The Marathon Family
Perils of the Sentimental Swordsman
Subhalekha
Haalu Jenu
Bobbili Puli
Nemir (film)
Desire (1982 film)
Tomorrow We Dance
The Sword and the Sorcerer
Marupacha
Più bello di così si muore
The Secret Nights of Lucrezia Borgia
The Mystery at Castle House
Blue Island (film)
Young Doctors in Love
The Herdsman
Night Shift (film)
Urgh! A Music War
Village in the Mist
Cane River (film)
After the Axe
La Boum 2
Disco Dancer
Red Love
Rocky III
Genocide (film)
Madman (1982 film)
Hearts and Flowers for Tora-san
Shaolin Temple (1982 film)
Keni (film)
Invitation to Hell (1982 film)
Pengabdi Setan
I Was a Mail Order Bride
Maine Jeena Seekh Liya (1982 film)
Pandemonium (film)
Pooviriyum Pulari
Oko proroka (film)
Identification of a Woman
Kharij
Countryman (film)
Humongous (1982 film)
The Junkman
Madame Aema
Visiting Hours
Sharam (film)
Plata dulce
50/50 (1982 film)
Dil Ka Sathi Dil
La Traviata (1983 film)
Aquel famoso Remington
Upír z Feratu
Five Element Ninjas
The Atomic Cafe
A Captain's Honor
Shriman Shrimati
Veronika Voss
Tora-san, the Expert
Patnam Vachina Pativrathalu
If You Could See What I Hear
The Smell of Quinces
Panic (1982 film)
Room 666
Zelená vlna (film)
Il paramedico
The Wild Women of Chastity Gulch
Anmol Sitaare
L'Étoile du Nord (film)
The Draughtsman's Contract
The Electric Grandmother
Lahari
Naya Safar
Three Sides Live (film)
The Year of Living Dangerously (film)
The Best of Friends (film)
The Impossible Kid
Balloon (film)
My Favorite Year
Madhura Swapnam
Kaaliya Mardhanam
Legend of a Fighter
Deedar-E-Yaar
Cleveland Smith: Bounty Hunter
Odukkam Thudakkam
