Doctor Detroit
Main Awara Hoon
A Slice of Life (1983 film)
Bandhan Kuchchey Dhaagon Ka
Dowry Kalyanam
The House on Sorority Row
La Bestia y la Espada Magica
Deadly Force (film)
Lady Libertine
Duel to the Death
Table for Five
Hasida Hebbuli
Protidan
Never Say Never Again
Can She Bake a Cherry Pie?
Mududida Tavare Aralithu
The House (1983 film)
Smokey and the Bandit Part 3
The Street Player
Kaikeyi (film)
Dusty (film)
Lone Wolf McQuade
House of the Long Shadows
Female Prisoner: Cage
The Highest Honor
Never Cry Wolf (film)
Rush (1983 film)
Nešto između
The First Turn-On!
A Married Couple
A Summer in St. Tropez
Illusions (film)
Deathstalker (film)
La noche más hermosa
The Lost Empire (1983 film)
'n Schot in de Roos
Kilroy Was Here (film)
Daffy Duck's Fantastic Island
National Lampoon's Movie Madness
Chronopolis (film)
Andha Kanoon
Chakravalam Chuvannappol
Karate (film)
Apnapan
Oomana Thinkal
Under Fire (film)
Kokilamma
Birth of a Nation (1983 film)
Io con te non ci sto più
Balkan Express
Mani di fata
Samrambham
The Man with Two Brains
El Poder de la censura
Mandi (film)
A Woman in Flames
Karimpinpoovinakkare
Maruja in Hell
Female Cats (film)
The Compass Rose (film)
Blue Skies Again (film)
Jane Eyre (1983 TV serial)
Microwave Massacre
Cheburashka Goes to School
Histoires drôles et drôles de gens
Bhakta Prahlada (1983 film)
Happy We
Jaani Dost
Village in the Mist
Stark Raving Mad (1983 film)
Risky Business
Little Dragon Maiden
Sněženky a machři
Possessed II
Hum Se Hai Zamana
Die Supernasen
Vellai Roja
D.C. Cab
Medeni mjesec
Twenty Years of African Cinema
Kaviratna Kalidasa
Boh Ngau
The Hunger (1983 film)
Asthi
Varanmaare Aavashyamundu
Return of the Jedi
Utilities (film)
Signes extérieurs de richesse
Category:1983 animated films
The Winds of Jarrah
Narcissus (1983 film)
Pygmalion (1983 film)
The Final Terror
Arabikkadal
Dance of the Dwarfs
The House of Water
Issa le Tisserand
Şalvar Davası
Attracta (film)
La Traviata (1983 film)
Indru Nee Nalai Naan
Aana (film)
Hercules (1983 film)
Conquest (1983 film)
Guerilla from the North
The Story of Piera
Seeding of a Ghost
Anveshane
Aasha (1983 film)
Ente Mamattukkuttiyammakku
Zeder
Koodevide
Martin Luther, Heretic (1983 film)
Category:1983 direct-to-video films
Malaiyoor Mambattiyan
Tender Mercies
Anantham Ajnatham
Adi Shankaracharya (film)
Surprise Party (film)
Metalstorm: The Destruction of Jared-Syn
Hello Madras Girl
Kattathe Kilikkoodu
Sattam
Biquefarre
Utu (film)
A Joke of Destiny
Walking, Walking
Bill Cosby: Himself
Coolie (1983 Hindi film)
Iniyengilum
Rembetiko (film)
Dhooram Adhighamillai
First Contact (1983 film)
Simha Gharjane
At the Top of the Stairs
Still Smokin (film)
Mazha Nilaavu
Naadam (film)
Aiko 16 sai
Un povero ricco
The Wounded Man (film)
Mann Vasanai
Usurpers of Emperor's Power
Nostalghia
Moti Dogar
Wagner (film)
Mad, Mad 83
À Nos Amours
He Makes Me Feel Like Dancin'
Chinnadantha Maga
Fantozzi subisce ancora
The Winter of Our Discontent (film)
Kadamba (1983 film)
To Be or Not to Be (1983 film)
Oru Odai Nadhiyagirathu
In the Nuclear Shadow: What Can the Children Tell Us?
Blue Thunder
Ardh Satya
A Princesa e o Robô
The Ruffian
Gib Gas - Ich will Spass (1983 film)
Kuyiline Thedi
Le Battant
Runners (film)
Nizhal Moodiya Nirangal
Woh Jo Hasina
Os Tarados
Manaivi Solle Manthiram
The New Barbarians
Veena Poovu
Aaroodam
Kranthiyogi Basavanna
The General of the Dead Army (film)
Ashtapadi (film)
Palletoori Monagadu
Hostage (1983 film)
Saatchi (film)
Silkwood
Diablito de barrio
Tora-san Goes Religious?
Sole Survivor (1983 film)
Rachana (film)
Cross Creek (film)
Nodi Swamy Navirodu Hige
Winnie the Pooh and a Day for Eeyore
Disciples of the Crow
Fire and Ice (1983 film)
Jaws 3-D
Anna Pavlova (film)
Muthu Engal Sothu
Amok (1983 film)
The Lonely Lady
Wavelength (1983 film)
The Hasty Heart
Aashrayam
Anarchism in America (film)
Porky's II: The Next Day
Rope and Breasts
Cujo (film)
Sledgehammer (film)
Neti Bharatam
Chatpati
Abra Cadabra (1983 film)
Sivudu Sivudu Sivudu
Legend of the Eight Samurai
Bush Christmas
Eddie Murphy Delirious
Ah Ying
Seeing Red (1983 film)
Shaolin Drunkard
Antarctica (1983 film)
All the Rivers Run
Beyond Sorrow, Beyond Pain
Go for It (film)
Thoongadhey Thambi Thoongadhey
Twilight Zone: The Movie
The Boys from Fengkuei
My Tutor
Dooly the Little Dinosaur
Mundhanai Mudichu
Naanayam (1983 film)
The Perfect Wife?!
Apoorva Sahodarigal
Heart Like a Wheel (film)
Pasand Apni Apni
Urusei Yatsura: Only You
A Season in Hakkari
Yor, the Hunter from the Future
King for a Day (1983 film)
Caraballo mató un gallo
Jaanwar (1983 film)
Thanga Magan (1983 film)
Mandanmmar Londanil
Kodungattu
Cold Feet (1983 film)
Inniyenkilum
Hans: Het Leven Voor De Dood
Sheer Madness
Jothi (1983 film)
Igano Kabamaru
The Mission (1983 film)
Last Plane Out
Tokyo Trial (1983 film)
Easy Money (1983 film)
Jeet Hamaari
The Beggar (film)
Eréndira (film)
Chor Police
Golgo 13: The Professional
Passionless Moments
Children of Darkness
Balance (1983 film)
The Story of Voyages
The Night the Bridge Fell Down
Skywhales
Strange Invaders
Hundra
The Final Cut (1983 film)
A One Man Show
Sadat (miniseries)
The Ploughman's Lunch
Dark Habits
Anal Kaatru
Sans Soleil
Los Fierecillos se divierten
Staying Alive (1983 film)
Deal of the Century
Waiter!
Adavi Simhalu
Charam
Beyaz Ölüm
Prem Nazirine Kanmanilla
Betrayal (1983 film)
Vassa (film)
Bezawada Bebbuli
Copkiller
Bhagavathipuram Railway Gate
Revenge of the Ninja
Drifting (1983 film)
Hometown (film)
Second Dance
Kokkarakko (1983 film)
Rishta Kagaz Ka
Lovesick (1983 film)
Les Branchés à Saint-Tropez
Onnu Chirikku
Svatební cesta do Jiljí
Rustam Tey Khan
Sandhya Vandanam (film)
Enikku Vishakunnu
Jatt Te Dogar
The Honorary Consul (film)
Simham Navvindi
Demon Fighter
Red Monarch
Winners and Sinners
Souten
Ganga Meri Maa
Srdečný pozdrav ze zeměkoule
Deepaaradhana
Spicy Chile
Bhookambam
Detective Story (1983 film)
Chicken Ranch (film)
Acqua e sapone
Flamenco at 5:15
The Outsiders (film)
Flirt (1983 film)
Hysterical (film)
Terms of Endearment
Daijōbu, My Friend
Trenchcoat (film)
Tu mi turbi
Red Bells II
Purappadu (1983 film)
Swapna Sagara
Cap Canaille (film)
Le Dernier Combat
Entre Nous (film)
Daulat Ke Dushman
Funny Dirty Little War
Sunset Limousine
Bingo Bongo
The Geisha (film)
Veetula Raman Veliyila Krishnan
Kaattaruvi
With Prejudice (film)
The Profession of Arms (1983 film)
Gunman (film)
Pourasham
Nanayam
