The Criminal Hypnotist
His Lost Love
The Hessian Renegades
The Red Man's View
Oliver Twist (1909 film)
The Cord of Life
His Ward's Love
Fools of Fate
The Little Darling
A Wreath in Time
Briton and Boer
The Diabolic Tenant
In Little Italy
The Renunciation
Love Finds a Way
Mrs. Jones' Birthday
The Joneses Have Amateur Theatricals
The Lonely Villa
De Greep
Wilbur Wright und seine Flugmaschine (film)
A Midsummer Night's Dream (1909 film)
One Touch of Nature
Mr. Jones Has a Card Party
His Wife's Mother (1909 film)
The Death Disc: A Story of the Cromwellian Period
The Day After (1909 film)
Choosing a Husband
Nursing a Viper
Her First Biscuits
The Airship Destroyer
The Mended Lute
Making It Pleasant for Him
The Curtain Pole
The Maniac Cook
Those Awful Hats
Macbeth (1909 Italian film)
Princess Nicotine; or, The Smoke Fairy
Tragic Love
Mr. Flip
Moscow Clad in Snow
La Tosca (1909 film)
The Politician's Love Story
In Old Kentucky (1909 film)
The Spider and the Butterfly
I Did It (film)
The Roue's Heart
The Salvation Army Lass
The Gibson Goddess
Edgar Allan Poe (film)
The Lure of the Gown
Les Misérables (1909 film)
A Drunkard's Reformation
The Honor of Thieves
Getting Even (1909 film)
Charmed, I'm Sure
Jephtah's Daughter: A Biblical Tragedy
Those Boys!
Davy Crockett – In Hearts United
The Moonstone (1909 film)
Song About the Merchant Kalashnikov
O Fósforo Eleitoral
The Sealed Room
The Girls and Daddy
The Cricket on the Hearth (1909 film)
To Save Her Soul
At the Altar
Lucky Jim (1909 film)
Resurrection (1909 film)
And a Little Child Shall Lead Them
Beatrice Cenci (1909 film)
A Rural Elopement
A Corner in Wheat
A Burglar's Mistake
Macbeth (1909 French film)
The Deception (film)
The Golden Louis
The Hindoo Dagger
Bill Sharkey's Last Game
To Demonstrate How Spiders Fly
Ben's Kid
Mrs. Jones Entertains
The Welcome Burglar
Whimsical Illusions
The Sacrifice (1909 film)
Lady Helen's Escapade
The Cowboy Millionaire
The Prussian Spy
The Fascinating Mrs. Francis
The Country Doctor (film)
Pippa Passes (1909 film)
Two Memories
The Voice of the Violin (film)
A Trap for Santa Claus
A Fool's Revenge
We Must Do Our Best
The Brahma Diamond
The Wooden Leg
